team,name,birthday,age,club,club_country,caps,height,weight,position
Albania,Etrit Berisha,10/03/1989,27,Lazio,ITA,36,194,92,Goalkeeper
Albania,Orges Shehi,25/09/1977,38,Skënderbeu,ALB,7,182,78,Goalkeeper
Albania,Alban Hoxha,23/11/1987,28,Partizani,ALB,1,188,79,Goalkeeper
Albania,Andi Lila,12/02/1986,30,Giannina,GRE,58,184,79,Defender
Albania,Elseid Hysaj,20/02/1994,22,Napoli,ITA,21,182,70,Defender
Albania,Frédéric Veseli,20/11/1992,23,Lugano,SUI,3,183,80,Defender
Albania,Ansi Agolli,11/10/1982,33,Qarabağ,AZE,63,179,70,Defender
Albania,Mërgim Mavraj,09/06/1986,30,Köln,GER,28,189,84,Defender
Albania,Naser Aliji,27/12/1993,22,Basel,SUI,4,177,73,Defender
Albania,Arlind Ajeti,25/09/1993,22,Frosinone,ITA,10,185,81,Defender
Albania,Ermir Lenjani,05/08/1989,26,Nantes,FRA,20,175,65,Midfield
Albania,Lorik Cana,27/07/1983,32,Nantes,FRA,91,186,77,Midfield
Albania,Migjen Basha,05/01/1987,29,Como,ITA,18,180,72,Midfield
Albania,Ledian Memushaj,17/12/1986,29,Pescara,ITA,14,175,71,Midfield
Albania,Burim Kukeli,16/01/1984,32,Zürich,SUI,17,180,72,Midfield
Albania,Taulant Xhaka,28/03/1991,25,Basel,SUI,13,172,72,Midfield
Albania,Ergys Kaçe,08/07/1993,22,PAOK,GRE,17,170,62,Midfield
Albania,Odise Roshi,22/05/1991,25,Rijeka,CRO,33,187,78,Midfield
Albania,Amir Abrashi,27/03/1990,26,Freiburg,GER,20,172,71,Midfield
Albania,Armando Sadiku,27/05/1991,25,Vaduz,LIE,21,185,80,Forward
Albania,Shkëlzen Gashi,15/07/1988,27,Colorado,USA,14,182,75,Forward
Albania,Sokol Çikalleshi,27/07/1990,25,İstanbul Başakşehir,TUR,19,185,79,Forward
Albania,Bekim Balaj,11/01/1991,25,Rijeka,CRO,15,188,80,Forward
Austria,Robert Almer,20/03/1984,32,Austria Wien,AUT,29,194,88,Goalkeeper
Austria,Heinz Lindner,17/07/1990,25,Frankfurt,GER,8,187,80,Goalkeeper
Austria,Ramazan Özcan,28/06/1984,31,Ingolstadt,GER,7,187,84,Goalkeeper
Austria,Aleksandar Dragović,06/03/1991,25,Dynamo Kyiv,UKR,48,184,76,Defender
Austria,Martin Hinteregger,07/09/1992,23,Mönchengladbach,GER,15,184,78,Defender
Austria,Christian Fuchs,07/04/1986,30,Leicester,ENG,76,186,80,Defender
Austria,Markus Suttner,16/04/1987,29,Ingolstadt,GER,16,179,72,Defender
Austria,Sebastian Prödl,21/06/1987,28,Watford,ENG,57,194,85,Defender
Austria,Kevin Wimmer,15/11/1992,23,Tottenham,ENG,3,187,85,Defender
Austria,Florian Klein,17/11/1986,29,Stuttgart,GER,38,180,66,Defender
Austria,György Garics,08/03/1984,32,Darmstadt,GER,41,183,76,Midfield
Austria,Stefan Ilsanker,18/05/1989,27,Leipzig,GER,16,189,86,Midfield
Austria,David Alaba,24/06/1992,23,Bayern,GER,47,180,75,Midfield
Austria,Zlatko Junuzović,26/09/1987,28,Bremen,GER,49,172,69,Midfield
Austria,Martin Harnik,10/06/1987,29,Stuttgart,GER,59,185,75,Midfield
Austria,Julian Baumgartlinger,02/01/1988,28,Mainz,GER,46,183,82,Midfield
Austria,Alessandro Schöpf,07/02/1994,22,Schalke,GER,5,178,75,Midfield
Austria,Marcel Sabitzer,17/03/1994,22,Leipzig,GER,19,177,74,Midfield
Austria,Jakob Jantscher,08/01/1989,27,Luzern,SUI,22,181,69,Midfield
Austria,Marko Arnautović,19/04/1989,27,Stoke,ENG,53,192,83,Forward
Austria,Rubin Okotie,06/06/1987,29,1860 München,GER,18,188,86,Forward
Austria,Lukas Hinterseer,28/03/1991,25,Ingolstadt,GER,10,192,84,Forward
Austria,Marc Janko,25/06/1983,32,Basel,SUI,55,196,93,Forward
Belgium,Thibaut Courtois,11/05/1992,24,Chelsea,ENG,38,199,91,Goalkeeper
Belgium,Simon Mignolet,06/08/1988,27,Liverpool,ENG,17,193,87,Goalkeeper
Belgium,Jean-François Gillet,31/05/1979,37,Mechelen,BEL,9,181,82,Goalkeeper
Belgium,Toby Alderweireld,02/03/1989,27,Tottenham,ENG,56,186,81,Defender
Belgium,Thomas Vermaelen,14/11/1985,30,Barcelona,ESP,54,183,80,Defender
Belgium,Jan Vertonghen,24/04/1987,29,Tottenham,ENG,79,189,79,Defender
Belgium,Jason Denayer,28/06/1995,20,Galatasaray,TUR,7,184,70,Defender
Belgium,Thomas Meunier,12/09/1991,24,Club Brugge,BEL,5,190,78,Defender
Belgium,Christian Kabasele,24/02/1991,25,Genk,BEL,0,186,84,Defender
Belgium,Jordan Lukaku,25/07/1994,21,Oostende,BEL,4,186,83,Defender
Belgium,Laurent Ciman,05/08/1985,30,Montreal,CAN,12,184,70,Defender
Belgium,Radja Nainggolan,04/05/1988,28,Roma,ITA,20,176,65,Midfield
Belgium,Axel Witsel,12/01/1989,27,Zenit,RUS,69,186,73,Midfield
Belgium,Kevin De Bruyne,28/06/1991,24,Man. City,ENG,42,181,68,Midfield
Belgium,Marouane Fellaini,22/11/1987,28,Man. United,ENG,71,194,85,Midfield
Belgium,Eden Hazard,07/01/1991,25,Chelsea,ENG,66,173,74,Midfield
Belgium,Yannick Carrasco,04/09/1993,22,Atlético,ESP,5,180,67,Midfield
Belgium,Mousa Dembélé,16/07/1987,28,Tottenham,ENG,64,185,82,Midfield
Belgium,Romelu Lukaku,13/05/1993,23,Everton,ENG,46,190,93,Forward
Belgium,Dries Mertens,06/05/1987,29,Napoli,ITA,47,169,61,Forward
Belgium,Divock Origi,18/04/1995,21,Liverpool,ENG,21,185,75,Forward
Belgium,Christian Benteke,03/12/1990,25,Liverpool,ENG,27,190,83,Forward
Belgium,Michy Batshuayi,02/10/1993,22,Marseille,FRA,5,185,78,Forward
Croatia,Ivan Vargić,15/03/1987,29,Rijeka,CRO,2,192,90,Goalkeeper
Croatia,Lovre Kalinić,03/04/1990,26,Hajduk Split,CRO,4,201,96,Goalkeeper
Croatia,Danijel Subašić,27/10/1984,31,Monaco,FRA,22,191,87,Goalkeeper
Croatia,Šime Vrsaljko,10/01/1992,24,Sassuolo,ITA,19,183,75,Defender
Croatia,Ivan Strinić,17/07/1987,28,Napoli,ITA,36,186,78,Defender
Croatia,Vedran Ćorluka,05/02/1986,30,Lokomotiv Moskva,RUS,88,192,84,Defender
Croatia,Tin Jedvaj,28/11/1995,20,Leverkusen,GER,3,184,80,Defender
Croatia,Darijo Srna,01/05/1982,34,Shakhtar Donetsk,UKR,130,178,78,Defender
Croatia,Gordon Schildenfeld,18/03/1985,31,Dinamo Zagreb,CRO,28,191,89,Defender
Croatia,Domagoj Vida,29/04/1989,27,Dynamo Kyiv,UKR,39,184,73,Defender
Croatia,Ivan Perišić,02/02/1989,27,Internazionale,ITA,48,187,80,Midfield
Croatia,Ivan Rakitić,10/03/1988,28,Barcelona,ESP,76,184,78,Midfield
Croatia,Mateo Kovačić,06/05/1994,22,Real Madrid,ESP,27,178,77,Midfield
Croatia,Luka Modrić,09/09/1985,30,Real Madrid,ESP,90,174,65,Midfield
Croatia,Marcelo Brozović,16/11/1992,23,Internazionale,ITA,18,181,68,Midfield
Croatia,Marko Rog,19/07/1995,20,Dinamo Zagreb,CRO,3,180,73,Midfield
Croatia,Ante Ćorić,14/04/1997,19,Dinamo Zagreb,CRO,2,172,78,Midfield
Croatia,Milan Badelj,25/02/1989,27,Fiorentina,ITA,21,186,76,Midfield
Croatia,Andrej Kramarić,19/06/1991,24,Hoffenheim,GER,12,177,70,Forward
Croatia,Nikola Kalinić,05/01/1988,28,Fiorentina,ITA,29,187,80,Forward
Croatia,Mario Mandžukić,21/05/1986,30,Juventus,ITA,66,190,85,Forward
Croatia,Marko Pjaca,06/05/1995,21,Dinamo Zagreb,CRO,9,186,81,Forward
Croatia,Duje Čop,01/02/1990,26,Málaga,ESP,4,184,73,Forward
Czech Republic,Petr Čech,20/05/1982,34,Arsenal,ENG,122,196,90,Goalkeeper
Czech Republic,Tomáš Vaclík,29/03/1989,27,Basel,SUI,6,188,85,Goalkeeper
Czech Republic,Tomáš Koubek,26/08/1992,23,Liberec,CZE,2,198,95,Goalkeeper
Czech Republic,Pavel Kadeřábek,25/04/1992,24,Hoffenheim,GER,19,182,81,Defender
Czech Republic,Michal Kadlec,13/12/1984,31,Fenerbahçe,TUR,65,185,76,Defender
Czech Republic,Theodor Gebre Selassie,24/12/1986,29,Bremen,GER,37,181,71,Defender
Czech Republic,Roman Hubník,06/06/1984,32,Plzeň,CZE,27,191,86,Defender
Czech Republic,Tomáš Sivok,15/09/1983,32,Bursaspor,TUR,56,185,77,Defender
Czech Republic,David Limberský,06/10/1983,32,Plzeň,CZE,39,179,79,Defender
Czech Republic,Marek Suchý,29/03/1988,28,Basel,SUI,27,184,84,Defender
Czech Republic,Bořek Dočkal,30/09/1988,27,Sparta Praha,CZE,24,182,72,Midfield
Czech Republic,Tomáš Rosický,04/10/1980,35,Arsenal,ENG,104,178,65,Midfield
Czech Republic,Daniel Pudil,27/09/1985,30,Sheff. Wednesday,ENG,32,185,81,Midfield
Czech Republic,Jaroslav Plašil,05/01/1982,34,Bordeaux,FRA,101,182,72,Midfield
Czech Republic,Daniel Kolář,27/10/1985,30,Plzeň,CZE,28,180,77,Midfield
Czech Republic,David Pavelka,18/05/1991,25,Kasımpaşa,TUR,9,185,74,Midfield
Czech Republic,Josef Šural,30/05/1990,26,Sparta Praha,CZE,12,184,81,Midfield
Czech Republic,Ladislav Krejčí,05/07/1992,23,Sparta Praha,CZE,24,180,67,Midfield
Czech Republic,Jiří Skalák,12/03/1992,24,Brighton,ENG,10,177,76,Midfield
Czech Republic,Vladimír Darida,08/08/1990,25,Hertha,GER,37,171,74,Midfield
Czech Republic,Tomáš Necid,13/08/1989,26,Bursaspor,TUR,40,190,81,Forward
Czech Republic,Milan Škoda,16/01/1986,30,Slavia Praha,CZE,9,190,86,Forward
Czech Republic,David Lafata,18/09/1981,34,Sparta Praha,CZE,40,180,72,Forward
England,Joe Hart,19/04/1987,29,Man. City,ENG,61,196,89,Goalkeeper
England,Fraser Forster,17/03/1988,28,Southampton,ENG,6,201,73,Goalkeeper
England,Tom Heaton,15/04/1986,30,Burnley,ENG,1,188,85,Goalkeeper
England,Kyle Walker,28/05/1990,26,Tottenham,ENG,18,178,70,Defender
England,Danny Rose,02/07/1990,25,Tottenham,ENG,6,173,72,Defender
England,Gary Cahill,19/12/1985,30,Chelsea,ENG,45,193,86,Defender
England,Chris Smalling,22/11/1989,26,Man. United,ENG,27,192,81,Defender
England,Nathaniel Clyne,05/04/1991,25,Liverpool,ENG,12,175,67,Defender
England,John Stones,28/05/1994,22,Everton,ENG,10,188,70,Defender
England,Ryan Bertrand,05/08/1989,26,Southampton,ENG,8,179,85,Defender
England,James Milner,04/01/1986,30,Liverpool,ENG,61,175,70,Midfield
England,Raheem Sterling,08/12/1994,21,Man. City,ENG,25,170,69,Midfield
England,Adam Lallana,10/05/1988,28,Liverpool,ENG,25,172,73,Midfield
England,Jordan Henderson,17/06/1990,25,Liverpool,ENG,26,182,67,Midfield
England,Eric Dier,15/01/1994,22,Tottenham,ENG,9,188,88,Midfield
England,Jack Wilshere,01/01/1992,24,Arsenal,ENG,32,172,65,Midfield
England,Ross Barkley,05/12/1993,22,Everton,ENG,22,189,76,Midfield
England,Dele Alli,11/04/1996,20,Tottenham,ENG,10,188,73,Midfield
England,Harry Kane,28/07/1993,22,Tottenham,ENG,14,188,65,Forward
England,Wayne Rooney,24/10/1985,30,Man. United,ENG,113,176,83,Forward
England,Jamie Vardy,11/01/1987,29,Leicester,ENG,9,178,76,Forward
England,Daniel Sturridge,01/09/1989,26,Liverpool,ENG,19,188,76,Forward
England,Marcus Rashford,31/10/1997,18,Man. United,ENG,2,180,70,Forward
France,Hugo Lloris,26/12/1986,29,Tottenham,ENG,77,188,73,Goalkeeper
France,Steve Mandanda,28/03/1985,31,Marseille,FRA,22,185,82,Goalkeeper
France,Benoît Costil,03/07/1987,28,Rennes,FRA,0,188,86,Goalkeeper
France,Christophe Jallet,31/10/1983,32,Lyon,FRA,11,178,70,Defender
France,Patrice Evra,15/05/1981,35,Juventus,ITA,75,174,74,Defender
France,Adil Rami,27/12/1985,30,Sevilla,ESP,30,190,90,Defender
France,Eliaquim Mangala,13/02/1991,25,Man. City,ENG,7,188,84,Defender
France,Lucas Digne,20/07/1993,22,Roma,ITA,13,178,74,Defender
France,Bacary Sagna,14/02/1983,33,Man. City,ENG,59,176,72,Defender
France,Laurent Koscielny,10/09/1985,30,Arsenal,ENG,31,186,75,Defender
France,Samuel Umtiti,14/11/1993,22,Lyon,FRA,0,180,75,Defender
France,N'Golo Kanté,29/03/1991,25,Leicester,ENG,6,169,68,Midfield
France,Yohan Cabaye,14/01/1986,30,Crystal Palace,ENG,46,174,71,Midfield
France,Dimitri Payet,29/03/1987,29,West Ham,ENG,21,175,77,Midfield
France,Morgan Schneiderlin,08/11/1989,26,Man. United,ENG,15,180,75,Midfield
France,Blaise Matuidi,09/04/1987,29,Paris,FRA,46,175,70,Midfield
France,Paul Pogba,15/03/1993,23,Juventus,ITA,33,191,84,Midfield
France,Moussa Sissoko,16/08/1989,26,Newcastle,ENG,39,187,83,Midfield
France,Kingsley Coman,13/06/1996,20,Bayern,GER,7,178,71,Midfield
France,Antoine Griezmann,21/03/1991,25,Atlético,ESP,29,176,67,Forward
France,Olivier Giroud,30/09/1986,29,Arsenal,ENG,51,192,88,Forward
France,André-Pierre Gignac,05/12/1985,30,Tigres,MEX,28,187,84,Forward
France,Anthony Martial,05/12/1995,20,Man. United,ENG,11,181,76,Forward
Germany,Manuel Neuer,27/03/1986,30,Bayern,GER,66,193,92,Goalkeeper
Germany,Bernd Leno,04/03/1992,24,Leverkusen,GER,1,190,83,Goalkeeper
Germany,Marc-André ter Stegen,30/04/1992,24,Barcelona,ESP,6,187,85,Goalkeeper
Germany,Shkodran Mustafi,17/04/1992,24,Valencia,ESP,11,184,82,Defender
Germany,Jonas Hector,27/05/1990,26,Köln,GER,15,185,75,Defender
Germany,Benedikt Höwedes,29/02/1988,28,Schalke,GER,35,187,82,Defender
Germany,Mats Hummels,16/12/1988,27,Dortmund,GER,46,191,92,Defender
Germany,Jonathan Tah,11/02/1996,20,Leverkusen,GER,1,-,-,Defender
Germany,Jérôme Boateng,03/09/1988,27,Bayern,GER,60,192,90,Defender
Germany,Joshua Kimmich,08/02/1995,21,Bayern,GER,1,176,70,Defender
Germany,Sami Khedira,04/04/1987,29,Juventus,ITA,61,189,90,Midfield
Germany,Bastian Schweinsteiger,01/08/1984,31,Man. United,ENG,116,183,79,Midfield
Germany,Mesut Özil,15/10/1988,27,Arsenal,ENG,74,180,76,Midfield
Germany,André Schürrle,06/11/1990,25,Wolfsburg,GER,53,184,74,Midfield
Germany,Julian Draxler,20/09/1993,22,Wolfsburg,GER,20,187,72,Midfield
Germany,Emre Can,12/01/1994,22,Liverpool,ENG,6,184,82,Midfield
Germany,Julian Weigl,08/09/1995,20,Dortmund,GER,1,186,71,Midfield
Germany,Toni Kroos,04/01/1990,26,Real Madrid,ESP,66,182,78,Midfield
Germany,Mario Götze,03/06/1992,24,Bayern,GER,53,176,64,Midfield
Germany,Leroy Sané,11/01/1996,20,Schalke,GER,3,183,75,Midfield
Germany,Lukas Podolski,04/06/1985,31,Galatasaray,TUR,128,182,83,Forward
Germany,Thomas Müller,13/09/1989,26,Bayern,GER,72,186,74,Forward
Germany,Mario Gomez,10/07/1985,30,Beşiktaş,TUR,64,189,93,Forward
Hungary,Gábor Király,01/04/1976,40,Haladás,HUN,103,190,85,Goalkeeper
Hungary,Dénes Dibusz,16/11/1990,25,Ferencváros,HUN,4,188,81,Goalkeeper
Hungary,Péter Gulácsi,06/05/1990,26,Leipzig,GER,3,190,83,Goalkeeper
Hungary,Ádám Lang,17/01/1993,23,Videoton,HUN,12,185,77,Defender
Hungary,Mihály Korhut,01/12/1988,27,Debrecen,HUN,5,181,76,Defender
Hungary,Tamás Kádár,14/03/1990,26,Lech,POL,30,188,79,Defender
Hungary,Attila Fiola,17/02/1990,26,Puskás Akadémia,HUN,16,182,70,Defender
Hungary,Ádám Pintér,12/06/1988,28,Ferencváros,HUN,21,190,76,Defender
Hungary,Richárd Guzmics,16/04/1987,29,Wisła,POL,15,190,80,Defender
Hungary,Barnabás Bese,06/05/1994,22,MTK,HUN,1,188,84,Defender
Hungary,Roland Juhász,01/07/1983,32,Videoton,HUN,91,194,96,Defender
Hungary,Ákos Elek,21/07/1988,27,Diósgyőr,HUN,38,193,91,Midfield
Hungary,Ádám Nagy,17/06/1995,20,Ferencváros,HUN,9,178,74,Midfield
Hungary,Gergő Lovrencsics,01/09/1988,27,Lech,POL,12,177,79,Midfield
Hungary,László Kleinheisler,08/04/1994,22,Bremen,GER,6,173,70,Midfield
Hungary,Zoltán Stieber,16/10/1988,27,Nürnberg,GER,13,175,67,Midfield
Hungary,Balázs Dzsudzsák,23/12/1986,29,Bursaspor,TUR,78,179,72,Forward
Hungary,Ádám Szalai,09/12/1987,28,Hannover,GER,32,193,91,Forward
Hungary,Zoltán Gera,22/04/1979,37,Ferencváros,HUN,89,183,75,Forward
Hungary,Krisztián Németh,05/01/1989,27,Al-Gharafa,QAT,24,180,74,Forward
Hungary,Dániel Böde,24/10/1986,29,Ferencváros,HUN,12,185,77,Forward
Hungary,Nemanja Nikolić,31/12/1987,28,Legia,POL,18,180,80,Forward
Hungary,Tamás Priskin,27/09/1986,29,Slovan Bratislava,SVK,56,189,90,Forward
Iceland,Hannes Halldórsson,27/04/1984,32,Bodø/Glimt,NOR,34,193,87,Goalkeeper
Iceland,Ögmundur Kristinsson,19/06/1989,26,Hammarby,SWE,11,192,89,Goalkeeper
Iceland,Ingvar Jónsson,18/10/1989,26,Sandefjord,NOR,5,188,82,Goalkeeper
Iceland,Birkir Sævarsson,11/11/1984,31,Hammarby,SWE,58,187,81,Defender
Iceland,Haukur Heidar Hauksson,01/09/1991,24,AIK,SWE,7,187,79,Defender
Iceland,Hjörtur Hermannsson,08/02/1995,21,Göteborg,SWE,3,189,81,Defender
Iceland,Sverrir Ingason,05/08/1993,22,Lokeren,BEL,6,188,83,Defender
Iceland,Ragnar Sigurdsson,19/06/1986,29,Krasnodar,RUS,57,187,77,Defender
Iceland,Elmar Bjarnason,04/03/1987,29,AGF,DEN,28,183,78,Defender
Iceland,Hordur Magnússon,11/02/1993,23,Cesena,ITA,5,190,81,Defender
Iceland,Arnor Ingvi Traustason,30/04/1993,23,Norrköping,SWE,7,183,74,Defender
Iceland,Ari Skúlason,14/05/1987,29,OB,DEN,39,170,65,Defender
Iceland,Birkir Bjarnason,27/05/1988,28,Basel,SUI,48,182,75,Midfield
Iceland,Gylfi Sigurdsson,08/09/1989,26,Swansea,ENG,40,186,77,Midfield
Iceland,Kári Árnason,13/10/1982,33,Malmö,SWE,48,190,79,Midfield
Iceland,Rúnar Már Sigurjónsson,18/06/1990,25,Sundsvall,SWE,11,178,78,Midfield
Iceland,Aron Gunnarsson,22/04/1989,27,Cardiff,WAL,60,178,70,Midfield
Iceland,Emil Hallfredsson,29/06/1984,31,Udinese,ITA,54,185,83,Midfield
Iceland,Johann Gudmundsson,27/10/1990,25,Charlton,ENG,48,178,72,Forward
Iceland,Kolbeinn Sigthórsson,14/03/1990,26,Nantes,FRA,40,185,70,Forward
Iceland,Alfred Finnbogason,01/02/1989,27,Augsburg,GER,35,184,78,Forward
Iceland,Jón Dadi Bödvarsson,25/05/1992,24,Kaiserslautern,GER,22,190,85,Forward
Iceland,Eidur Gudjohnsen,15/09/1978,37,Molde,NOR,86,185,82,Forward
Italy,Gianluigi Buffon,28/01/1978,38,Juventus,ITA,157,192,91,Goalkeeper
Italy,Salvatore Sirigu,12/01/1987,29,Paris,FRA,16,192,80,Goalkeeper
Italy,Federico Marchetti,07/02/1983,33,Lazio,ITA,11,188,73,Goalkeeper
Italy,Mattia De Sciglio,20/10/1992,23,Milan,ITA,23,183,74,Defender
Italy,Giorgio Chiellini,14/08/1984,31,Juventus,ITA,85,187,86,Defender
Italy,Matteo Darmian,02/12/1989,26,Man. United,ENG,23,182,70,Defender
Italy,Angelo Ogbonna,23/05/1988,28,West Ham,ENG,11,191,86,Defender
Italy,Andrea Barzagli,08/05/1981,35,Juventus,ITA,57,187,87,Defender
Italy,Leonardo Bonucci,01/05/1987,29,Juventus,ITA,58,190,86,Defender
Italy,Antonio Candreva,28/02/1987,29,Lazio,ITA,39,180,70,Midfield
Italy,Alessandro Florenzi,11/03/1991,25,Roma,ITA,17,173,67,Midfield
Italy,Thiago Motta,28/08/1982,33,Paris,FRA,27,183,82,Midfield
Italy,Stefano Sturaro,09/03/1993,23,Juventus,ITA,1,178,78,Midfield
Italy,Daniele De Rossi,24/07/1983,32,Roma,ITA,104,184,83,Midfield
Italy,Marco Parolo,25/01/1985,31,Lazio,ITA,21,184,75,Midfield
Italy,Federico Bernardeschi,16/02/1994,22,Fiorentina,ITA,4,183,75,Midfield
Italy,Emanuele Giaccherini,05/05/1985,31,Bologna,ITA,26,167,60,Midfield
Italy,Simone Zaza,25/06/1991,24,Juventus,ITA,11,186,83,Forward
Italy,Graziano Pellè,15/07/1985,30,Southampton,ENG,14,194,84,Forward
Italy,Ciro Immobile,20/02/1990,26,Torino,ITA,14,185,78,Forward
Italy,Éder,15/11/1986,29,Internazionale,ITA,11,179,72,Forward
Italy,Lorenzo Insigne,04/06/1991,25,Napoli,ITA,9,163,59,Forward
Italy,Stephan El Shaarawy,27/10/1992,23,Roma,ITA,19,178,72,Forward
Northern Ireland,Michael McGovern,12/07/1984,31,Hamilton,SCO,13,191,89,Goalkeeper
Northern Ireland,Roy Carroll,30/09/1977,38,Notts County,ENG,44,188,80,Goalkeeper
Northern Ireland,Alan Mannus,19/05/1982,34,St Johnstone,SCO,8,188,84,Goalkeeper
Northern Ireland,Conor McLaughlin,26/07/1991,24,Fleetwood,ENG,19,183,71,Defender
Northern Ireland,Gareth McAuley,05/12/1979,36,West Brom,ENG,63,195,90,Defender
Northern Ireland,Jonny Evans,03/01/1988,28,West Brom,ENG,51,188,77,Defender
Northern Ireland,Chris Baird,25/02/1982,34,Fulham,ENG,79,181,74,Defender
Northern Ireland,Luke McCullough,15/02/1994,22,Doncaster,ENG,5,185,81,Defender
Northern Ireland,Paddy McNair,27/04/1995,21,Man. United,ENG,11,183,72,Defender
Northern Ireland,Aaron Hughes,08/11/1979,36,Melbourne City,AUS,101,183,78,Defender
Northern Ireland,Craig Cathcart,06/02/1989,27,Watford,ENG,30,188,73,Defender
Northern Ireland,Lee Hodson,02/10/1991,24,MK Dons,ENG,16,174,71,Defender
Northern Ireland,Shane Ferguson,12/07/1991,24,Millwall,ENG,26,176,65,Midfield
Northern Ireland,Steven Davis,01/01/1985,31,Southampton,ENG,85,172,72,Midfield
Northern Ireland,Corry Evans,30/07/1990,25,Blackburn,ENG,35,173,70,Midfield
Northern Ireland,Stuart Dallas,19/04/1991,25,Leeds,ENG,15,186,81,Midfield
Northern Ireland,Oliver Norwood,12/04/1991,25,Reading,ENG,36,180,76,Midfield
Northern Ireland,Jamie Ward,12/05/1986,30,Nottm Forest,ENG,24,165,68,Midfield
Northern Ireland,Josh Magennis,15/08/1990,25,Kilmarnock,SCO,20,188,92,Midfield
Northern Ireland,Niall McGinn,20/07/1987,28,Aberdeen,SCO,43,183,70,Forward
Northern Ireland,Will Grigg,03/07/1991,24,Wigan,ENG,8,180,70,Forward
Northern Ireland,Kyle Lafferty,16/09/1987,28,Birmingham,ENG,52,193,88,Forward
