team,name,birthday,age,club,club_country,caps,height,weight,position
Northern Ireland,Conor Washington,18/05/1992,24,QPR,ENG,6,178,74,Forward
Poland,Wojciech Szczęsny,18/04/1990,26,Roma,ITA,27,196,84,Goalkeeper
Poland,Artur Boruc,20/02/1980,36,Bournemouth,ENG,63,193,88,Goalkeeper
Poland,Łukasz Fabiański,18/04/1985,31,Swansea,ENG,30,190,83,Goalkeeper
Poland,Michał Pazdan,21/09/1987,28,Legia,POL,16,181,78,Defender
Poland,Artur Jędrzejczyk,04/11/1987,28,Legia,POL,19,189,78,Defender
Poland,Thiago Cionek,21/04/1986,30,Palermo,ITA,6,184,80,Defender
Poland,Jakub Wawrzyniak,07/07/1983,32,Lechia,POL,46,188,85,Defender
Poland,Kamil Glik,03/02/1988,28,Torino,ITA,42,190,80,Defender
Poland,Bartosz Salamon,01/05/1991,25,Cagliari,ITA,8,196,89,Defender
Poland,Łukasz Piszczek,03/06/1985,31,Dortmund,GER,47,184,79,Defender
Poland,Krzysztof Mączyński,23/05/1987,29,Wisła,POL,17,175,66,Midfield
Poland,Tomasz Jodłowiec,08/09/1985,30,Legia,POL,44,189,91,Midfield
Poland,Karol Linetty,02/02/1995,21,Lech,POL,10,176,74,Midfield
Poland,Grzegorz Krychowiak,29/01/1990,26,Sevilla,ESP,35,186,83,Midfield
Poland,Kamil Grosicki,08/06/1988,28,Rennes,FRA,39,180,78,Midfield
Poland,Jakub Błaszczykowski,14/12/1985,30,Fiorentina,ITA,80,176,77,Midfield
Poland,Sławomir Peszko,19/02/1985,31,Lechia,POL,38,173,70,Midfield
Poland,Piotr Zieliński,20/05/1994,22,Empoli,ITA,15,177,64,Midfield
Poland,Bartosz Kapustka,23/12/1996,19,,,8,179,60,Midfield
Poland,Filip Starzyński,27/05/1991,25,Zagłębie,POL,3,184,72,Midfield
Poland,Arkadiusz Milik,28/02/1994,22,Ajax,NED,27,186,78,Forward
Poland,Robert Lewandowski,21/08/1988,27,Bayern,GER,77,184,78,Forward
Poland,Mariusz Stępiński,12/05/1995,21,Ruch,POL,2,183,73,Forward
Portugal,Rui Patrício,15/02/1988,28,Sporting CP,POR,46,190,84,Goalkeeper
Portugal,Anthony Lopes,01/10/1990,25,Lyon,FRA,4,184,81,Goalkeeper
Portugal,Eduardo,19/09/1982,33,Dinamo Zagreb,CRO,35,188,89,Goalkeeper
Portugal,Bruno Alves,27/11/1981,34,Fenerbahçe,TUR,85,189,83,Defender
Portugal,Pepe,26/02/1983,33,Real Madrid,ESP,72,188,81,Defender
Portugal,José Fonte,22/12/1983,32,Southampton,ENG,12,187,81,Defender
Portugal,Raphael Guerreiro,22/12/1993,22,Lorient,FRA,8,170,67,Defender
Portugal,Ricardo Carvalho,18/05/1978,38,Monaco,FRA,87,183,78,Defender
Portugal,Eliseu,01/10/1983,32,Benfica,POR,16,180,75,Defender
Portugal,Cédric,31/08/1991,24,Southampton,ENG,11,172,67,Defender
Portugal,João Moutinho,08/09/1986,29,Monaco,FRA,85,171,61,Midfield
Portugal,João Mário,19/01/1993,23,Sporting CP,POR,12,179,73,Midfield
Portugal,Vieirinha,24/01/1986,30,Wolfsburg,GER,23,172,73,Midfield
Portugal,Danilo,09/09/1991,24,Porto,POR,13,188,83,Midfield
Portugal,William Carvalho,07/04/1992,24,Sporting CP,POR,20,187,83,Midfield
Portugal,André Gomes,30/07/1993,22,Valencia,ESP,9,188,84,Midfield
Portugal,Renato Sanches,18/08/1997,18,Benfica,POR,6,176,70,Midfield
Portugal,Rafa Silva,17/05/1993,23,Braga,POR,8,170,63,Midfield
Portugal,Adrien Silva,15/03/1989,27,Sporting CP,POR,9,175,69,Midfield
Portugal,Cristiano Ronaldo,05/02/1985,31,Real Madrid,ESP,127,185,80,Forward
Portugal,Éder,22/12/1987,28,LOSC,FRA,27,188,81,Forward
Portugal,Nani,17/11/1986,29,Fenerbahçe,TUR,97,175,66,Forward
Portugal,Ricardo Quaresma,26/09/1983,32,Beşiktaş,TUR,51,175,67,Forward
Republic of Ireland,Keiren Westwood,23/10/1984,31,Sheff. Wednesday,ENG,17,187,92,Goalkeeper
Republic of Ireland,Shay Given,20/04/1976,40,Stoke,ENG,133,185,84,Goalkeeper
Republic of Ireland,Darren Randolph,12/05/1987,29,West Ham,ENG,10,188,98,Goalkeeper
Republic of Ireland,Seamus Coleman,11/10/1988,27,Everton,ENG,35,177,67,Defender
Republic of Ireland,Ciaran Clark,26/09/1989,26,Aston Villa,ENG,18,188,76,Defender
Republic of Ireland,John O'Shea,30/04/1981,35,Sunderland,ENG,111,191,75,Defender
Republic of Ireland,Richard Keogh,11/08/1986,29,Derby,ENG,12,188,87,Defender
Republic of Ireland,Shane Duffy,01/01/1992,24,Blackburn,ENG,3,193,76,Defender
Republic of Ireland,Cyrus Christie,30/09/1992,23,Derby,ENG,5,188,78,Defender
Republic of Ireland,Stephen Ward,20/08/1985,30,Burnley,ENG,32,184,72,Defender
Republic of Ireland,Glenn Whelan,13/01/1984,32,Stoke,ENG,71,180,79,Midfield
Republic of Ireland,Aiden McGeady,04/04/1986,30,Sheff. Wednesday,ENG,82,177,71,Midfield
Republic of Ireland,James McCarthy,12/11/1990,25,Everton,ENG,36,180,72,Midfield
Republic of Ireland,James McClean,22/04/1989,27,West Brom,ENG,39,180,70,Midfield
Republic of Ireland,Jeff Hendrick,31/01/1992,24,Derby,ENG,22,185,79,Midfield
Republic of Ireland,David Meyler,29/05/1989,27,Hull,ENG,16,189,91,Midfield
Republic of Ireland,Robbie Brady,14/01/1992,24,Norwich,ENG,24,175,69,Midfield
Republic of Ireland,Wes Hoolahan,20/05/1982,34,Norwich,ENG,31,168,71,Midfield
Republic of Ireland,Stephen Quinn,01/04/1986,30,Reading,ENG,15,168,60,Midfield
Republic of Ireland,Shane Long,22/01/1987,29,Southampton,ENG,64,180,81,Forward
Republic of Ireland,Robbie Keane,08/07/1980,35,LA Galaxy,USA,143,175,72,Forward
Republic of Ireland,Jon Walters,20/09/1983,32,Stoke,ENG,39,183,79,Forward
Republic of Ireland,Daryl Murphy,15/03/1983,33,Ipswich,ENG,20,191,88,Forward
Romania,Costel Pantilimon,01/02/1987,29,Watford,ENG,21,203,96,Goalkeeper
Romania,Ciprian Tătăruşanu,09/02/1986,30,Fiorentina,ITA,39,195,88,Goalkeeper
Romania,Silviu Lung,04/06/1989,27,Astra,ROU,3,189,78,Goalkeeper
Romania,Alexandru Măţel,17/10/1989,26,Dinamo Zagreb,CRO,16,177,72,Defender
Romania,Răzvan Raţ,26/05/1981,35,Rayo Vallecano,ESP,113,178,72,Defender
Romania,Cosmin Moţi,03/12/1984,31,Ludogorets,BUL,8,183,74,Defender
Romania,Vlad Chiricheş,14/11/1989,26,Napoli,ITA,43,184,75,Defender
Romania,Valerică Găman,25/02/1989,27,Astra,ROU,14,188,72,Defender
Romania,Steliano Filip,15/05/1994,22,Dinamo Bucureşti,ROU,5,177,73,Defender
Romania,Dragoş Grigore,07/09/1986,29,Al-Sailiya,QAT,22,185,76,Defender
Romania,Cristian Săpunaru,05/04/1984,32,Pandurii,ROU,15,187,81,Defender
Romania,Ovidiu Hoban,27/12/1982,33,H. Beer-Sheva,ISR,22,182,80,Midfield
Romania,Alexandru Chipciu,18/05/1989,27,Steaua,ROU,24,177,74,Midfield
Romania,Mihai Pintilii,09/11/1984,31,Steaua,ROU,34,180,78,Midfield
Romania,Nicolae Stanciu,07/05/1993,23,Steaua,ROU,6,170,69,Midfield
Romania,Gabriel Torje,22/11/1989,26,Osmanlıspor,TUR,53,168,71,Midfield
Romania,Lucian Sânmărtean,13/03/1980,36,Al-Ittihad,KSA,20,175,70,Midfield
Romania,Andrei Prepeliţă,08/12/1985,30,Ludogorets,BUL,11,178,79,Midfield
Romania,Adrian Popa,24/07/1988,27,Steaua,ROU,15,169,71,Midfield
Romania,Denis Alibec,05/01/1991,25,Astra,ROU,5,187,77,Forward
Romania,Claudiu Keșerü,02/12/1986,29,Ludogorets,BUL,14,178,71,Forward
Romania,Florin Andone,11/04/1993,23,Córdoba,ESP,8,182,78,Forward
Romania,Bogdan Stancu,28/06/1987,28,Gençlerbirliği,TUR,43,183,75,Forward
Russia,Igor Akinfeev,08/04/1986,30,CSKA Moskva,RUS,88,186,82,Goalkeeper
Russia,Yuri Lodygin,26/05/1990,26,Zenit,RUS,11,187,82,Goalkeeper
Russia,Guilherme,12/12/1985,30,Lokomotiv Moskva,RUS,2,197,78,Goalkeeper
Russia,Roman Shishkin,27/01/1987,29,Lokomotiv Moskva,RUS,11,176,73,Defender
Russia,Igor Smolnikov,08/08/1988,27,Zenit,RUS,16,178,70,Defender
Russia,Sergei Ignashevich,14/07/1979,36,CSKA Moskva,RUS,118,187,84,Defender
Russia,Roman Neustädter,18/02/1988,28,Schalke,GER,5,190,83,Defender
Russia,Aleksei Berezutski,20/06/1982,33,CSKA Moskva,RUS,55,190,87,Defender
Russia,Vasili Berezutski,20/06/1982,33,CSKA Moskva,RUS,97,189,87,Defender
Russia,Georgi Schennikov,27/04/1991,25,CSKA Moskva,RUS,10,180,75,Defender
Russia,Dmitri Kombarov,22/01/1987,29,Spartak Moskva,RUS,38,181,72,Defender
Russia,Artur Yusupov,01/09/1989,26,Zenit,RUS,2,180,73,Midfield
Russia,Denis Glushakov,27/01/1987,29,Spartak Moskva,RUS,45,182,80,Midfield
Russia,Pavel Mamaev,17/09/1988,27,Krasnodar,RUS,14,178,70,Midfield
Russia,Aleksandr Golovin,30/05/1996,20,CSKA Moskva,RUS,7,180,69,Midfield
Russia,Roman Shirokov,06/07/1981,34,CSKA Moskva,RUS,55,183,80,Midfield
Russia,Oleg Shatov,29/07/1990,25,Zenit,RUS,25,173,73,Midfield
Russia,Oleg Ivanov,04/08/1986,29,Terek,RUS,5,192,87,Midfield
Russia,Aleksandr Samedov,19/07/1984,31,Lokomotiv Moskva,RUS,29,177,75,Midfield
Russia,Dmitri Torbinski,28/04/1984,32,Krasnodar,RUS,30,172,60,Midfield
Russia,Aleksandr Kokorin,19/03/1991,25,Zenit,RUS,40,181,74,Forward
Russia,Fedor Smolov,09/02/1990,26,Krasnodar,RUS,16,187,80,Forward
Russia,Artem Dzyuba,22/08/1988,27,Zenit,RUS,20,196,91,Forward
Slovakia,Ján Mucha,05/12/1982,33,Slovan Bratislava,SVK,46,189,90,Goalkeeper
Slovakia,Ján Novota,29/11/1983,32,Rapid Wien,AUT,3,197,90,Goalkeeper
Slovakia,Matúš Kozáčik,27/12/1983,32,Plzeň,CZE,19,193,88,Goalkeeper
Slovakia,Peter Pekarík,30/10/1986,29,Hertha,GER,69,176,70,Defender
Slovakia,Martin Škrtel,15/12/1984,31,Liverpool,ENG,83,193,81,Defender
Slovakia,Ján Ďurica,10/12/1981,34,Lokomotiv Moskva,RUS,82,188,86,Defender
Slovakia,Norbert Gyömber,03/07/1992,23,Roma,ITA,13,189,74,Defender
Slovakia,Milan Škriniar,11/02/1995,21,Sampdoria,ITA,2,187,80,Defender
Slovakia,Tomáš Hubočan,17/09/1985,30,Dinamo Moskva,RUS,45,184,70,Defender
Slovakia,Kornel Saláta,24/01/1985,31,Slovan Bratislava,SVK,37,191,89,Defender
Slovakia,Dušan Švento,01/08/1985,30,Köln,GER,41,178,70,Defender
Slovakia,Ján Greguš,29/01/1991,25,Jablonec,CZE,7,189,70,Midfield
Slovakia,Vladimír Weiss,30/11/1989,26,Al-Gharafa,QAT,54,173,71,Midfield
Slovakia,Ondrej Duda,05/12/1994,21,Legia,POL,13,181,74,Midfield
Slovakia,Miroslav Stoch,19/10/1989,26,Bursaspor,TUR,55,169,66,Midfield
Slovakia,Patrik Hrošovský,22/04/1992,24,Plzeň,CZE,13,172,68,Midfield
Slovakia,Marek Hamšík,27/07/1987,28,Napoli,ITA,89,183,79,Midfield
Slovakia,Juraj Kucka,26/02/1987,29,Milan,ITA,49,186,86,Midfield
Slovakia,Róbert Mak,08/03/1991,25,PAOK,GRE,29,179,78,Midfield
Slovakia,Viktor Pečovský,24/05/1983,33,Žilina,SVK,33,171,74,Midfield
Slovakia,Stanislav Šesták,16/12/1982,33,Ferencváros,HUN,65,180,74,Forward
Slovakia,Adam Nemec,02/09/1985,30,Willem II,NED,24,190,84,Forward
Slovakia,Michal Ďuriš,01/06/1988,28,Plzeň,CZE,28,183,75,Forward
Spain,Iker Casillas,20/05/1981,35,Porto,POR,167,185,84,Goalkeeper
Spain,David de Gea,07/11/1990,25,Man. United,ENG,10,192,76,Goalkeeper
Spain,Sergio Rico,01/09/1993,22,Sevilla,ESP,1,195,90,Goalkeeper
Spain,César Azpilicueta,28/08/1989,26,Chelsea,ENG,15,178,75,Defender
Spain,Gerard Piqué,02/02/1987,29,Barcelona,ESP,78,193,85,Defender
Spain,Marc Bartra,15/01/1991,25,Barcelona,ESP,9,183,74,Defender
Spain,Héctor Bellerín,19/03/1995,21,Arsenal,ENG,3,177,74,Defender
Spain,Sergio Ramos,30/03/1986,30,Real Madrid,ESP,132,183,75,Defender
Spain,Juanfran,09/01/1985,31,Atlético,ESP,18,180,72,Defender
Spain,Mikel San José,30/05/1989,27,Athletic,ESP,7,186,77,Defender
Spain,Jordi Alba,21/03/1989,27,Barcelona,ESP,44,170,68,Defender
Spain,Sergio Busquets,16/07/1988,27,Barcelona,ESP,84,189,76,Midfield
Spain,Andrés Iniesta,11/05/1984,32,Barcelona,ESP,109,171,68,Midfield
Spain,Koke,08/01/1992,24,Atlético,ESP,22,178,74,Midfield
Spain,Cesc Fàbregas,04/05/1987,29,Chelsea,ENG,107,175,74,Midfield
Spain,Thiago Alcántara,11/04/1991,25,Bayern,GER,11,172,71,Midfield
Spain,Bruno Soriano,12/06/1984,32,Villarreal,ESP,8,184,73,Midfield
Spain,David Silva,08/01/1986,30,Man. City,ENG,100,173,67,Midfield
Spain,Álvaro Morata,23/10/1992,23,Juventus,ITA,10,189,85,Forward
Spain,Lucas Vázquez,01/07/1991,24,Real Madrid,ESP,1,173,70,Forward
Spain,Pedro Rodríguez,28/07/1987,28,Chelsea,ENG,58,167,62,Forward
Spain,Aritz Aduriz,11/02/1981,35,Athletic,ESP,7,181,75,Forward
Spain,Nolito,15/10/1986,29,Celta,ESP,10,175,65,Forward
Sweden,Andreas Isaksson,03/10/1981,34,Kasımpaşa,TUR,131,200,86,Goalkeeper
Sweden,Robin Olsen,08/01/1990,26,København,DEN,4,198,89,Goalkeeper
Sweden,Patrik Carlgren,08/01/1992,24,AIK,SWE,0,188,84,Goalkeeper
Sweden,Mikael Lustig,13/12/1986,29,Celtic,SCO,53,189,78,Defender
Sweden,Erik Johansson,30/12/1988,27,København,DEN,9,191,84,Defender
Sweden,Andreas Granqvist,16/04/1985,31,Krasnodar,RUS,53,192,84,Defender
Sweden,Martin Olsson,17/05/1988,28,Norwich,ENG,35,170,81,Defender
Sweden,Pontus Jansson,13/02/1991,25,Torino,ITA,6,194,89,Defender
Sweden,Victor Lindelöf,17/07/1994,21,Benfica,POR,4,187,80,Defender
Sweden,Ludwig Augustinsson,21/04/1994,22,København,DEN,3,181,74,Defender
Sweden,Emil Forsberg,23/10/1991,24,Leipzig,GER,18,179,78,Midfield
Sweden,Sebastian Larsson,06/06/1985,31,Sunderland,ENG,85,178,70,Midfield
Sweden,Albin Ekdal,28/07/1989,26,Hamburg,GER,23,186,75,Midfield
Sweden,Kim Källström,24/08/1982,33,Grasshoppers,SUI,129,185,87,Midfield
Sweden,Oscar Hiljemark,28/06/1992,23,Palermo,ITA,9,184,75,Midfield
Sweden,Pontus Wernbloom,25/06/1986,29,CSKA Moskva,RUS,50,187,85,Midfield
Sweden,Oscar Lewicki,14/07/1992,23,Malmö,SWE,10,171,68,Midfield
Sweden,Jimmy Durmaz,22/03/1989,27,Olympiacos,GRE,30,180,69,Midfield
Sweden,Erkan Zengin,05/08/1985,30,Trabzonspor,TUR,20,180,72,Midfield
Sweden,Zlatan Ibrahimović,03/10/1981,34,Paris,FRA,114,195,95,Forward
Sweden,Marcus Berg,17/08/1986,29,Panathinaikos,GRE,38,184,75,Forward
Sweden,Emir Kujovic,22/06/1988,27,Norrköping,SWE,2,194,87,Forward
Sweden,John Guidetti,15/04/1992,24,Celta,ESP,10,185,79,Forward
Switzerland,Yann Sommer,17/12/1988,27,Mönchengladbach,GER,20,183,79,Goalkeeper
Switzerland,Marwin Hitz,18/09/1987,28,Augsburg,GER,2,193,86,Goalkeeper
Switzerland,Roman Bürki,14/11/1990,25,Dortmund,GER,5,187,85,Goalkeeper
Switzerland,Stephan Lichtsteiner,16/01/1984,32,Juventus,ITA,83,182,75,Defender
Switzerland,François Moubandje,21/06/1990,25,Toulouse,FRA,11,180,74,Defender
Switzerland,Nico Elvedi,30/09/1996,19,Mönchengladbach,GER,1,188,83,Defender
Switzerland,Steve von Bergen,10/06/1983,33,Young Boys,SUI,50,182,79,Defender
Switzerland,Michael Lang,08/02/1991,25,Basel,SUI,18,185,79,Defender
Switzerland,Ricardo Rodríguez,25/08/1992,23,Wolfsburg,GER,39,181,77,Defender
Switzerland,Johan Djourou,18/01/1987,29,Hamburg,GER,62,191,87,Defender
Switzerland,Fabian Schär,20/12/1991,24,Hoffenheim,GER,22,186,84,Defender
Switzerland,Fabian Frei,08/01/1989,27,Mainz,GER,9,182,77,Midfield
Switzerland,Granit Xhaka,27/09/1992,23,Mönchengladbach,GER,45,185,82,Midfield
Switzerland,Valon Behrami,19/04/1985,31,Watford,ENG,68,185,78,Midfield
Switzerland,Denis Zakaria,20/11/1996,19,Young Boys,SUI,2,191,76,Midfield
Switzerland,Blerim Džemaili,12/04/1986,30,Genoa,ITA,50,179,73,Midfield
Switzerland,Gelson Fernandes,02/09/1986,29,Rennes,FRA,57,179,70,Midfield
Switzerland,Xherdan Shaqiri,10/10/1991,24,Stoke,ENG,55,169,72,Midfield
Switzerland,Breel Embolo,14/02/1997,19,Basel,SUI,12,185,84,Forward
Switzerland,Haris Seferović,22/02/1992,24,Frankfurt,GER,32,185,85,Forward
Switzerland,Shani Tarashaj,07/02/1995,21,Grasshoppers,SUI,5,176,77,Forward
Switzerland,Admir Mehmedi,16/03/1991,25,Leverkusen,GER,44,183,81,Forward
Switzerland,Eren Derdiyok,12/06/1988,28,Kasımpaşa,TUR,52,191,90,Forward
Turkey,Volkan Babacan,11/08/1988,27,İstanbul Başakşehir,TUR,18,192,86,Goalkeeper
Turkey,Onur Kıvrak,01/01/1988,28,Trabzonspor,TUR,12,187,74,Goalkeeper
Turkey,Harun Tekin,17/06/1989,26,Bursaspor,TUR,0,187,78,Goalkeeper
Turkey,Semih Kaya,24/02/1991,25,Galatasaray,TUR,23,183,66,Defender
Turkey,Hakan Balta,23/03/1983,33,Galatasaray,TUR,47,184,80,Defender
Turkey,Ahmet Çalık,26/02/1994,22,Gençlerbirliği,TUR,4,184,77,Defender
Turkey,Gökhan Gönül,04/01/1985,31,Fenerbahçe,TUR,58,174,73,Defender
Turkey,İsmail Köybaşı,10/07/1989,26,Beşiktaş,TUR,19,177,75,Defender
Turkey,Caner Erkin,04/10/1988,27,Fenerbahçe,TUR,48,181,76,Defender
Turkey,Şener Özbayraklı,23/01/1990,26,Fenerbahçe,TUR,8,171,71,Defender
Turkey,Nuri Şahin,05/09/1988,27,Dortmund,GER,49,179,65,Midfield
Turkey,Hakan Çalhanoğlu,08/02/1994,22,Leverkusen,GER,20,176,76,Midfield
Turkey,Selçuk İnan,10/02/1985,31,Galatasaray,TUR,53,182,74,Midfield
Turkey,Arda Turan,30/01/1987,29,Barcelona,ESP,92,178,76,Midfield
Turkey,Olcay Şahan,26/05/1987,29,Beşiktaş,TUR,24,179,71,Midfield
Turkey,Oğuzhan Özyakup,23/09/1992,23,Beşiktaş,TUR,21,180,75,Midfield
Turkey,Mehmet Topal,03/03/1986,30,Fenerbahçe,TUR,60,187,82,Midfield
Turkey,Ozan Tufan,23/03/1995,21,Fenerbahçe,TUR,25,179,70,Midfield
Turkey,Yunus Mallı,24/02/1992,24,Mainz,GER,6,179,70,Midfield
Turkey,Volkan Şen,07/07/1987,28,Fenerbahçe,TUR,18,175,68,Midfield
Turkey,Cenk Tosun,07/06/1991,25,Beşiktaş,TUR,10,183,78,Forward
Turkey,Burak Yılmaz,15/07/1985,30,Beijing Guoan,CHN,45,188,77,Forward
Turkey,Emre Mor,24/07/1997,18,Nordsjælland,DEN,3,168,63,Forward
Ukraine,Denys Boyko,29/01/1988,28,Beşiktaş,TUR,4,194,82,Goalkeeper
Ukraine,Andriy Pyatov,28/06/1984,31,Shakhtar Donetsk,UKR,66,190,84,Goalkeeper
Ukraine,Mykyta Shevchenko,26/01/1993,23,Zorya,UKR,0,187,80,Goalkeeper
Ukraine,Bohdan Butko,13/01/1991,25,Amkar,RUS,17,180,68,Defender
Ukraine,Yevhen Khacheridi,28/07/1987,28,Dynamo Kyiv,UKR,44,198,85,Defender
Ukraine,Olexandr Kucher,22/10/1982,33,Shakhtar Donetsk,UKR,50,184,77,Defender
Ukraine,Vyacheslav Shevchuk,13/05/1979,37,Shakhtar Donetsk,UKR,55,184,78,Defender
Ukraine,Artem Fedetskiy,26/04/1985,31,Dnipro,UKR,51,183,76,Defender
Ukraine,Yaroslav Rakitskiy,03/08/1989,26,Shakhtar Donetsk,UKR,42,180,70,Defender
Ukraine,Anatoliy Tymoshchuk,30/03/1979,37,Kairat,KAZ,143,181,70,Midfield
Ukraine,Taras Stepanenko,08/08/1989,26,Shakhtar Donetsk,UKR,31,181,75,Midfield
Ukraine,Andriy Yarmolenko,23/10/1989,26,Dynamo Kyiv,UKR,61,189,81,Midfield
Ukraine,Viktor Kovalenko,14/02/1996,20,Shakhtar Donetsk,UKR,5,182,75,Midfield
Ukraine,Yevhen Konoplyanka,29/09/1989,26,Sevilla,ESP,55,176,69,Midfield
Ukraine,Ruslan Rotan,29/10/1981,34,Dnipro,UKR,88,174,67,Midfield
Ukraine,Serhiy Sydorchuk,02/05/1991,25,Dynamo Kyiv,UKR,14,189,90,Midfield
Ukraine,Serhiy Rybalka,01/04/1990,26,Dynamo Kyiv,UKR,9,176,70,Midfield
Ukraine,Denys Garmash,19/04/1990,26,Dynamo Kyiv,UKR,28,186,72,Midfield
Ukraine, Olexandr Zinchenko,15/12/1996,19,Ufa,RUS,5,175,61,Midfield
Ukraine,Olexandr Karavaev,02/06/1992,24,Zorya,UKR,3,173,65,Midfield
Ukraine,Roman Zozulya,17/11/1989,26,Dnipro,UKR,28,176,72,Forward
Ukraine,Yevhen Seleznyov,20/07/1985,30,Shakhtar Donetsk,UKR,52,188,85,Forward
Ukraine,Pylyp Budkivskiy,10/03/1992,24,Zorya,UKR,6,196,81,Forward
Wales,Wayne Hennessey,24/01/1987,29,Crystal Palace,ENG,58,198,90,Goalkeeper
Wales,Owain Fôn Williams,17/03/1987,29,Inverness,SCO,1,193,77,Goalkeeper
Wales,Danny Ward,22/06/1993,22,Liverpool,ENG,3,191,88,Goalkeeper
Wales,Chris Gunter,21/07/1989,26,Reading,ENG,69,180,71,Defender
Wales,Neil Taylor,07/02/1989,27,Swansea,ENG,30,175,64,Defender
Wales,Ben Davies,24/04/1993,23,Tottenham,ENG,22,181,76,Defender
Wales,James Chester,23/01/1989,27,West Brom,ENG,13,177,75,Defender
Wales,Ashley Williams,23/08/1984,31,Swansea,ENG,61,183,71,Defender
Wales,Jazz Richards,12/04/1991,25,Fulham,ENG,10,185,78,Defender
Wales,James Collins,23/08/1983,32,West Ham,ENG,47,188,83,Defender
Wales,Joe Allen,14/03/1990,26,Liverpool,ENG,27,168,62,Midfield
Wales,Andy King,29/10/1988,27,Leicester,ENG,33,183,74,Midfield
Wales,Aaron Ramsey,26/12/1990,25,Arsenal,ENG,41,178,76,Midfield
Wales,David Edwards,03/02/1986,30,Wolves,ENG,34,183,78,Midfield
Wales,Joe Ledley,23/01/1987,29,Crystal Palace,ENG,63,183,73,Midfield
Wales,Jonathan Williams,09/10/1993,22,Crystal Palace,ENG,14,168,60,Midfield
Wales,David Vaughan,18/02/1983,33,Nottm Forest,ENG,42,171,70,Midfield
Wales,Hal Robson-Kanu,21/05/1989,27,Reading,ENG,32,183,83,Forward
Wales,Gareth Bale,16/07/1989,26,Real Madrid,ESP,57,183,74,Forward
Wales,George Williams,07/09/1995,20,Fulham,ENG,7,172,73,Forward
Wales,David Cotterill,04/12/1987,28,Birmingham,ENG,23,175,71,Forward
Wales,Sam Vokes,21/10/1989,26,Burnley,ENG,40,186,90,Forward
Wales,Simon Church,10/12/1988,27,MK Dons,ENG,36,183,84,Forward
