team,name,birthday,age,club,club_country,caps,height,weight,position,club_city,club_country_code,lat,lng
Germany,Mario Gomez,10/07/1985,30,Beşiktaş,TUR,64,189,93,Forward,None,TR,41.068616,29.0285355
Hungary,Gábor Király,01/04/1976,40,Haladás,HUN,103,190,85,Goalkeeper,Nadap,HU,47.257112,18.6171884
Hungary,Dénes Dibusz,16/11/1990,25,Ferencváros,HUN,4,188,81,Goalkeeper,Budapest,HU,47.4683766,19.0819885
Hungary,Péter Gulácsi,06/05/1990,26,Leipzig,GER,3,190,83,Goalkeeper,Leipzig,DE,51.3396955,12.3730747
Hungary,Ádám Lang,17/01/1993,23,Videoton,HUN,12,185,77,Defender,Veszprém,HU,47.0498377,17.9124854
Hungary,Mihály Korhut,01/12/1988,27,Debrecen,HUN,5,181,76,Defender,Debrecen,HU,47.5316049,21.6273123
Hungary,Tamás Kádár,14/03/1990,26,Lech,POL,30,188,79,Defender,Gdańsk,PL,54.3788433,18.468075
Hungary,Attila Fiola,17/02/1990,26,Puskás Akadémia,HUN,16,182,70,Defender,None,None,None,None
Hungary,Ádám Pintér,12/06/1988,28,Ferencváros,HUN,21,190,76,Defender,Budapest,HU,47.4683766,19.0819885
Hungary,Richárd Guzmics,16/04/1987,29,Wisła,POL,15,190,80,Defender,Wisła,PL,49.6473215,18.867739
Hungary,Barnabás Bese,06/05/1994,22,MTK,HUN,1,188,84,Defender,Budapest,HU,47.5068059,19.0179405
Hungary,Roland Juhász,01/07/1983,32,Videoton,HUN,91,194,96,Defender,Veszprém,HU,47.0498377,17.9124854
Hungary,Ákos Elek,21/07/1988,27,Diósgyőr,HUN,38,193,91,Midfield,Miskolc,HU,48.10002129999999,20.6899256
Hungary,Ádám Nagy,17/06/1995,20,Ferencváros,HUN,9,178,74,Midfield,Budapest,HU,47.4683766,19.0819885
Hungary,Gergő Lovrencsics,01/09/1988,27,Lech,POL,12,177,79,Midfield,Gdańsk,PL,54.3788433,18.468075
Hungary,László Kleinheisler,08/04/1994,22,Bremen,GER,6,173,70,Midfield,Bremen,DE,53.07929619999999,8.8016937
Hungary,Zoltán Stieber,16/10/1988,27,Nürnberg,GER,13,175,67,Midfield,Nord,DE,49.45203,11.07675
Hungary,Balázs Dzsudzsák,23/12/1986,29,Bursaspor,TUR,78,179,72,Forward,None,None,None,None
Hungary,Ádám Szalai,09/12/1987,28,Hannover,GER,32,193,91,Forward,Hanover,DE,52.3758916,9.732010400000002
Hungary,Zoltán Gera,22/04/1979,37,Ferencváros,HUN,89,183,75,Forward,Budapest,HU,47.4683766,19.0819885
Hungary,Krisztián Németh,05/01/1989,27,Al-Gharafa,QAT,24,180,74,Forward,None,QA,25.3325814,51.44670929999999
Hungary,Dániel Böde,24/10/1986,29,Ferencváros,HUN,12,185,77,Forward,Budapest,HU,47.4683766,19.0819885
Hungary,Nemanja Nikolić,31/12/1987,28,Legia,POL,18,180,80,Forward,Pińczów,PL,50.5145668,20.5206169
Hungary,Tamás Priskin,27/09/1986,29,Slovan Bratislava,SVK,56,189,90,Forward,Bratislava,SK,48.1727265,17.1315226
Iceland,Hannes Halldórsson,27/04/1984,32,Bodø/Glimt,NOR,34,193,87,Goalkeeper,Bodo,NO,67.2803556,14.404916
Iceland,Ögmundur Kristinsson,19/06/1989,26,Hammarby,SWE,11,192,89,Goalkeeper,Hammarby,SE,60.545951,16.5699828
Iceland,Ingvar Jónsson,18/10/1989,26,Sandefjord,NOR,5,188,82,Goalkeeper,Sandefjord,NO,59.1313095,10.2165948
Iceland,Birkir Sævarsson,11/11/1984,31,Hammarby,SWE,58,187,81,Defender,Hammarby,SE,60.545951,16.5699828
Iceland,Haukur Heidar Hauksson,01/09/1991,24,AIK,SWE,7,187,79,Defender,Sjöbo,SE,55.6299905,13.6625538
Iceland,Hjörtur Hermannsson,08/02/1995,21,Göteborg,SWE,3,189,81,Defender,Gothenburg,SE,57.70887,11.97456
Iceland,Sverrir Ingason,05/08/1993,22,Lokeren,BEL,6,188,83,Defender,Lokeren,BE,51.10234130000001,3.9940663
Iceland,Ragnar Sigurdsson,19/06/1986,29,Krasnodar,RUS,57,187,77,Defender,Krasnodar,RU,45.03926740000001,38.987221
Iceland,Elmar Bjarnason,04/03/1987,29,AGF,DEN,28,183,78,Defender,Viby J,DK,56.126591,10.1769624
Iceland,Hordur Magnússon,11/02/1993,23,Cesena,ITA,5,190,81,Defender,Cesena,IT,44.1396438,12.2464292
Iceland,Arnor Ingvi Traustason,30/04/1993,23,Norrköping,SWE,7,183,74,Defender,Norrköping,SE,58.587745,16.192421
Iceland,Ari Skúlason,14/05/1987,29,OB,DEN,39,170,65,Defender,פ"ת,IL,32.084018,34.862965
Iceland,Birkir Bjarnason,27/05/1988,28,Basel,SUI,48,182,75,Midfield,Basel,CH,47.5595986,7.5885761
Iceland,Gylfi Sigurdsson,08/09/1989,26,Swansea,ENG,40,186,77,Midfield,Swansea,GB,51.62144,-3.943645999999999
Iceland,Kári Árnason,13/10/1982,33,Malmö,SWE,48,190,79,Midfield,Malmö,SE,55.604981,13.003822
Iceland,Rúnar Már Sigurjónsson,18/06/1990,25,Sundsvall,SWE,11,178,78,Midfield,Sundsvall,SE,62.390811,17.306927
Iceland,Aron Gunnarsson,22/04/1989,27,Cardiff,WAL,60,178,70,Midfield,Cardiff,GB,51.48158100000001,-3.17909
Iceland,Emil Hallfredsson,29/06/1984,31,Udinese,ITA,54,185,83,Midfield,Udine,IT,46.0710668,13.2345794
Iceland,Johann Gudmundsson,27/10/1990,25,Charlton,ENG,48,178,72,Forward,Charlton,GB,52.02184099999999,-1.227595
Iceland,Kolbeinn Sigthórsson,14/03/1990,26,Nantes,FRA,40,185,70,Forward,Nantes,FR,47.218371,-1.553621
Iceland,Alfred Finnbogason,01/02/1989,27,Augsburg,GER,35,184,78,Forward,A,DE,48.3705449,10.89779
Iceland,Jón Dadi Bödvarsson,25/05/1992,24,Kaiserslautern,GER,22,190,85,Forward,KL,DE,49.4400657,7.7491265
Iceland,Eidur Gudjohnsen,15/09/1978,37,Molde,NOR,86,185,82,Forward,Molde,NO,62.73723520000001,7.1607306
Italy,Gianluigi Buffon,28/01/1978,38,Juventus,ITA,157,192,91,Goalkeeper,São Paulo,BR,-23.5711578,-46.5904639
Italy,Salvatore Sirigu,12/01/1987,29,Paris,FRA,16,192,80,Goalkeeper,Paris,FR,48.856614,2.3522219
Italy,Federico Marchetti,07/02/1983,33,Lazio,ITA,11,188,73,Goalkeeper,None,IT,42.0774133,12.7135482
Italy,Mattia De Sciglio,20/10/1992,23,Milan,ITA,23,183,74,Defender,Milan,IT,45.4654219,9.1859243
Italy,Giorgio Chiellini,14/08/1984,31,Juventus,ITA,85,187,86,Defender,São Paulo,BR,-23.5711578,-46.5904639
Italy,Matteo Darmian,02/12/1989,26,Man. United,ENG,23,182,70,Defender,Stretford,GB,53.4630484,-2.2951326
Italy,Angelo Ogbonna,23/05/1988,28,West Ham,ENG,11,191,86,Defender,Westham,GB,50.815665,0.323885
Italy,Andrea Barzagli,08/05/1981,35,Juventus,ITA,57,187,87,Defender,São Paulo,BR,-23.5711578,-46.5904639
Italy,Leonardo Bonucci,01/05/1987,29,Juventus,ITA,58,190,86,Defender,São Paulo,BR,-23.5711578,-46.5904639
Italy,Antonio Candreva,28/02/1987,29,Lazio,ITA,39,180,70,Midfield,None,IT,42.0774133,12.7135482
Italy,Alessandro Florenzi,11/03/1991,25,Roma,ITA,17,173,67,Midfield,Rome,IT,41.9027835,12.4963655
Italy,Thiago Motta,28/08/1982,33,Paris,FRA,27,183,82,Midfield,Paris,FR,48.856614,2.3522219
Italy,Stefano Sturaro,09/03/1993,23,Juventus,ITA,1,178,78,Midfield,São Paulo,BR,-23.5711578,-46.5904639
Italy,Daniele De Rossi,24/07/1983,32,Roma,ITA,104,184,83,Midfield,Rome,IT,41.9027835,12.4963655
Italy,Marco Parolo,25/01/1985,31,Lazio,ITA,21,184,75,Midfield,None,IT,42.0774133,12.7135482
Italy,Federico Bernardeschi,16/02/1994,22,Fiorentina,ITA,4,183,75,Midfield,Fiorentina,IT,42.9636137,10.5355882
Italy,Emanuele Giaccherini,05/05/1985,31,Bologna,ITA,26,167,60,Midfield,Bologna,IT,44.494887,11.3426163
Italy,Simone Zaza,25/06/1991,24,Juventus,ITA,11,186,83,Forward,São Paulo,BR,-23.5711578,-46.5904639
Italy,Graziano Pellè,15/07/1985,30,Southampton,ENG,14,194,84,Forward,Southampton,GB,50.90970040000001,-1.4043509
Italy,Ciro Immobile,20/02/1990,26,Torino,ITA,14,185,78,Forward,Turin,IT,45.070312,7.686856499999999
Italy,Éder,15/11/1986,29,Internazionale,ITA,11,179,72,Forward,None,IT,45.7924983,6.9254824
Italy,Lorenzo Insigne,04/06/1991,25,Napoli,ITA,9,163,59,Forward,Naples,IT,40.8517746,14.2681244
Italy,Stephan El Shaarawy,27/10/1992,23,Roma,ITA,19,178,72,Forward,Rome,IT,41.9027835,12.4963655
Northern Ireland,Michael McGovern,12/07/1984,31,Hamilton,SCO,13,191,89,Goalkeeper,Hamilton,GB,55.77763299999999,-4.053679
Northern Ireland,Roy Carroll,30/09/1977,38,Notts County,ENG,44,188,80,Goalkeeper,None,GB,53.100319,-0.9936305999999998
Northern Ireland,Alan Mannus,19/05/1982,34,St Johnstone,SCO,8,188,84,Goalkeeper,Alva,GB,56.15210829999999,-3.8006141
Northern Ireland,Conor McLaughlin,26/07/1991,24,Fleetwood,ENG,19,183,71,Defender,Fleetwood,GB,53.916661,-3.035673
Northern Ireland,Gareth McAuley,05/12/1979,36,West Brom,ENG,63,195,90,Defender,West Bromwich,GB,52.517664,-1.995159
Northern Ireland,Jonny Evans,03/01/1988,28,West Brom,ENG,51,188,77,Defender,West Bromwich,GB,52.517664,-1.995159
Northern Ireland,Chris Baird,25/02/1982,34,Fulham,ENG,79,181,74,Defender,London,GB,51.4773433,-0.2016817
Northern Ireland,Luke McCullough,15/02/1994,22,Doncaster,ENG,5,185,81,Defender,Doncaster,GB,53.52282,-1.128462
Northern Ireland,Paddy McNair,27/04/1995,21,Man. United,ENG,11,183,72,Defender,Stretford,GB,53.4630484,-2.2951326
Northern Ireland,Aaron Hughes,08/11/1979,36,Melbourne City,AUS,101,183,78,Defender,Melbourne,AU,-37.8162789,144.9642459
Northern Ireland,Craig Cathcart,06/02/1989,27,Watford,ENG,30,188,73,Defender,Watford,GB,51.656489,-0.39032
Northern Ireland,Lee Hodson,02/10/1991,24,MK Dons,ENG,16,174,71,Defender,None,None,None,None
Northern Ireland,Shane Ferguson,12/07/1991,24,Millwall,ENG,26,176,65,Midfield,London,GB,51.49767,-0.020534
Northern Ireland,Steven Davis,01/01/1985,31,Southampton,ENG,85,172,72,Midfield,Southampton,GB,50.90970040000001,-1.4043509
Northern Ireland,Corry Evans,30/07/1990,25,Blackburn,ENG,35,173,70,Midfield,Blackburn,GB,53.748575,-2.487529
Northern Ireland,Stuart Dallas,19/04/1991,25,Leeds,ENG,15,186,81,Midfield,Leeds,GB,53.8007554,-1.5490774
Northern Ireland,Oliver Norwood,12/04/1991,25,Reading,ENG,36,180,76,Midfield,Reading,GB,51.4542645,-0.9781303
Northern Ireland,Jamie Ward,12/05/1986,30,Nottm Forest,ENG,24,165,68,Midfield,Nottingham,GB,53.0756752,-1.2408939
Northern Ireland,Josh Magennis,15/08/1990,25,Kilmarnock,SCO,20,188,92,Midfield,Kilmarnock,GB,55.614719,-4.498792
Northern Ireland,Niall McGinn,20/07/1987,28,Aberdeen,SCO,43,183,70,Forward,Aberdeen,GB,57.149717,-2.094278
Northern Ireland,Will Grigg,03/07/1991,24,Wigan,ENG,8,180,70,Forward,Wigan,GB,53.5450645,-2.6325074
Northern Ireland,Kyle Lafferty,16/09/1987,28,Birmingham,ENG,52,193,88,Forward,Birmingham,GB,52.48624299999999,-1.890401
Northern Ireland,Conor Washington,18/05/1992,24,QPR,ENG,6,178,74,Forward,London,GB,51.51074999999999,-0.230056
Poland,Wojciech Szczęsny,18/04/1990,26,Roma,ITA,27,196,84,Goalkeeper,Rome,IT,41.9027835,12.4963655
Poland,Artur Boruc,20/02/1980,36,Bournemouth,ENG,63,193,88,Goalkeeper,Bournemouth,GB,50.719164,-1.880769
Poland,Łukasz Fabiański,18/04/1985,31,Swansea,ENG,30,190,83,Goalkeeper,Swansea,GB,51.62144,-3.943645999999999
Poland,Michał Pazdan,21/09/1987,28,Legia,POL,16,181,78,Defender,Pińczów,PL,50.5145668,20.5206169
Poland,Artur Jędrzejczyk,04/11/1987,28,Legia,POL,19,189,78,Defender,Pińczów,PL,50.5145668,20.5206169
Poland,Thiago Cionek,21/04/1986,30,Palermo,ITA,6,184,80,Defender,Palermo,IT,38.1156879,13.3612671
Poland,Jakub Wawrzyniak,07/07/1983,32,Lechia,POL,46,188,85,Defender,Gdańsk,PL,54.3904704,18.6371333
Poland,Kamil Glik,03/02/1988,28,Torino,ITA,42,190,80,Defender,Turin,IT,45.070312,7.686856499999999
Poland,Bartosz Salamon,01/05/1991,25,Cagliari,ITA,8,196,89,Defender,Cagliari,IT,39.2238411,9.1216613
Poland,Łukasz Piszczek,03/06/1985,31,Dortmund,GER,47,184,79,Defender,DO,DE,51.5135872,7.465298100000001
Poland,Krzysztof Mączyński,23/05/1987,29,Wisła,POL,17,175,66,Midfield,Wisła,PL,49.6473215,18.867739
Poland,Tomasz Jodłowiec,08/09/1985,30,Legia,POL,44,189,91,Midfield,Pińczów,PL,50.5145668,20.5206169
Poland,Karol Linetty,02/02/1995,21,Lech,POL,10,176,74,Midfield,Gdańsk,PL,54.3788433,18.468075
Poland,Grzegorz Krychowiak,29/01/1990,26,Sevilla,ESP,35,186,83,Midfield,Seville,ES,37.3890924,-5.9844589
Poland,Kamil Grosicki,08/06/1988,28,Rennes,FRA,39,180,78,Midfield,Rennes,FR,48.117266,-1.6777926
Poland,Jakub Błaszczykowski,14/12/1985,30,Fiorentina,ITA,80,176,77,Midfield,Fiorentina,IT,42.9636137,10.5355882
Poland,Sławomir Peszko,19/02/1985,31,Lechia,POL,38,173,70,Midfield,Gdańsk,PL,54.3904704,18.6371333
Poland,Piotr Zieliński,20/05/1994,22,Empoli,ITA,15,177,64,Midfield,Empoli,IT,43.7178919,10.9477782
Poland,Bartosz Kapustka,23/12/1996,19,,,8,179,60,Midfield,None,UM,19.2823192,166.647047
Poland,Filip Starzyński,27/05/1991,25,Zagłębie,POL,3,184,72,Midfield,Łódź,PL,51.7235208,19.4409232
Poland,Arkadiusz Milik,28/02/1994,22,Ajax,NED,27,186,78,Forward,Rotterdam,NL,51.96227829999999,4.4897053
Poland,Robert Lewandowski,21/08/1988,27,Bayern,GER,77,184,78,Forward,None,DE,48.7904472,11.4978895
Poland,Mariusz Stępiński,12/05/1995,21,Ruch,POL,2,183,73,Forward,None,US,41.0571194,-80.6498069
Portugal,Rui Patrício,15/02/1988,28,Sporting CP,POR,46,190,84,Goalkeeper,None,None,None,None
Portugal,Anthony Lopes,01/10/1990,25,Lyon,FRA,4,184,81,Goalkeeper,Lyon,FR,45.764043,4.835659
Portugal,Eduardo,19/09/1982,33,Dinamo Zagreb,CRO,35,188,89,Goalkeeper,Novo Čiče,HR,45.70622909999999,16.1163926
Portugal,Bruno Alves,27/11/1981,34,Fenerbahçe,TUR,85,189,83,Defender,None,TR,40.97428620000001,29.0430833
Portugal,Pepe,26/02/1983,33,Real Madrid,ESP,72,188,81,Defender,Madrid,ES,40.3626461,-3.7388727
Portugal,José Fonte,22/12/1983,32,Southampton,ENG,12,187,81,Defender,Southampton,GB,50.90970040000001,-1.4043509
Portugal,Raphael Guerreiro,22/12/1993,22,Lorient,FRA,8,170,67,Defender,Lorient,FR,47.7482524,-3.3702449
Portugal,Ricardo Carvalho,18/05/1978,38,Monaco,FRA,87,183,78,Defender,Monaco-Ville,MC,43.73741099999999,7.420815999999999
Portugal,Eliseu,01/10/1983,32,Benfica,POR,16,180,75,Defender,None,PT,38.7510519,-9.2026693
Portugal,Cédric,31/08/1991,24,Southampton,ENG,11,172,67,Defender,Southampton,GB,50.90970040000001,-1.4043509
Portugal,João Moutinho,08/09/1986,29,Monaco,FRA,85,171,61,Midfield,Monaco-Ville,MC,43.73741099999999,7.420815999999999
Portugal,João Mário,19/01/1993,23,Sporting CP,POR,12,179,73,Midfield,None,None,None,None
Portugal,Vieirinha,24/01/1986,30,Wolfsburg,GER,23,172,73,Midfield,WOB,DE,52.4226503,10.7865461
Portugal,Danilo,09/09/1991,24,Porto,POR,13,188,83,Midfield,Porto,PT,41.1579438,-8.629105299999999
Portugal,William Carvalho,07/04/1992,24,Sporting CP,POR,20,187,83,Midfield,None,None,None,None
Portugal,André Gomes,30/07/1993,22,Valencia,ESP,9,188,84,Midfield,Valencia,ES,39.4699075,-0.3762881
Portugal,Renato Sanches,18/08/1997,18,Benfica,POR,6,176,70,Midfield,None,PT,38.7510519,-9.2026693
Portugal,Rafa Silva,17/05/1993,23,Braga,POR,8,170,63,Midfield,Braga,PT,41.5454486,-8.426506999999999
Portugal,Adrien Silva,15/03/1989,27,Sporting CP,POR,9,175,69,Midfield,None,None,None,None
Portugal,Cristiano Ronaldo,05/02/1985,31,Real Madrid,ESP,127,185,80,Forward,Madrid,ES,40.3626461,-3.7388727
Portugal,Éder,22/12/1987,28,LOSC,FRA,27,188,81,Forward,Lille,FR,50.62925,3.057256
Portugal,Nani,17/11/1986,29,Fenerbahçe,TUR,97,175,66,Forward,None,TR,40.97428620000001,29.0430833
Portugal,Ricardo Quaresma,26/09/1983,32,Beşiktaş,TUR,51,175,67,Forward,None,TR,41.068616,29.0285355
Republic of Ireland,Keiren Westwood,23/10/1984,31,Sheff. Wednesday,ENG,17,187,92,Goalkeeper,Sheffield,GB,53.4158749,-1.5077223
Republic of Ireland,Shay Given,20/04/1976,40,Stoke,ENG,133,185,84,Goalkeeper,Stoke,GB,53.002668,-2.179404
Republic of Ireland,Darren Randolph,12/05/1987,29,West Ham,ENG,10,188,98,Goalkeeper,Westham,GB,50.815665,0.323885
Republic of Ireland,Seamus Coleman,11/10/1988,27,Everton,ENG,35,177,67,Defender,Everton,GB,53.425713,-2.966368
Republic of Ireland,Ciaran Clark,26/09/1989,26,Aston Villa,ENG,18,188,76,Defender,High Littleton,GB,51.3205237,-2.5059282
Republic of Ireland,John O'Shea,30/04/1981,35,Sunderland,ENG,111,191,75,Defender,Sunderland,GB,54.906869,-1.383801
Republic of Ireland,Richard Keogh,11/08/1986,29,Derby,ENG,12,188,87,Defender,Derby,GB,52.9225301,-1.4746186
Republic of Ireland,Shane Duffy,01/01/1992,24,Blackburn,ENG,3,193,76,Defender,Blackburn,GB,53.748575,-2.487529
Republic of Ireland,Cyrus Christie,30/09/1992,23,Derby,ENG,5,188,78,Defender,Derby,GB,52.9225301,-1.4746186
Republic of Ireland,Stephen Ward,20/08/1985,30,Burnley,ENG,32,184,72,Defender,Burnley,GB,53.7892877,-2.2405035
Republic of Ireland,Glenn Whelan,13/01/1984,32,Stoke,ENG,71,180,79,Midfield,Stoke,GB,53.002668,-2.179404
Republic of Ireland,Aiden McGeady,04/04/1986,30,Sheff. Wednesday,ENG,82,177,71,Midfield,Sheffield,GB,53.4158749,-1.5077223
Republic of Ireland,James McCarthy,12/11/1990,25,Everton,ENG,36,180,72,Midfield,Everton,GB,53.425713,-2.966368
Republic of Ireland,James McClean,22/04/1989,27,West Brom,ENG,39,180,70,Midfield,West Bromwich,GB,52.517664,-1.995159
Republic of Ireland,Jeff Hendrick,31/01/1992,24,Derby,ENG,22,185,79,Midfield,Derby,GB,52.9225301,-1.4746186
Republic of Ireland,David Meyler,29/05/1989,27,Hull,ENG,16,189,91,Midfield,Hull,GB,53.7456709,-0.3367413
Republic of Ireland,Robbie Brady,14/01/1992,24,Norwich,ENG,24,175,69,Midfield,Norwich,GB,52.6308859,1.297355
Republic of Ireland,Wes Hoolahan,20/05/1982,34,Norwich,ENG,31,168,71,Midfield,Norwich,GB,52.6308859,1.297355
Republic of Ireland,Stephen Quinn,01/04/1986,30,Reading,ENG,15,168,60,Midfield,Reading,GB,51.4542645,-0.9781303
Republic of Ireland,Shane Long,22/01/1987,29,Southampton,ENG,64,180,81,Forward,Southampton,GB,50.90970040000001,-1.4043509
Republic of Ireland,Robbie Keane,08/07/1980,35,LA Galaxy,USA,143,175,72,Forward,Lafayette,US,30.2068934,-92.10763949999999
Republic of Ireland,Jon Walters,20/09/1983,32,Stoke,ENG,39,183,79,Forward,Stoke,GB,53.002668,-2.179404
Republic of Ireland,Daryl Murphy,15/03/1983,33,Ipswich,ENG,20,191,88,Forward,Ipswich,GB,52.056736,1.14822
Romania,Costel Pantilimon,01/02/1987,29,Watford,ENG,21,203,96,Goalkeeper,Watford,GB,51.656489,-0.39032
Romania,Ciprian Tătăruşanu,09/02/1986,30,Fiorentina,ITA,39,195,88,Goalkeeper,Fiorentina,IT,42.9636137,10.5355882
Romania,Silviu Lung,04/06/1989,27,Astra,ROU,3,189,78,Goalkeeper,Brașov,RO,45.63917800000001,25.6269792
Romania,Alexandru Măţel,17/10/1989,26,Dinamo Zagreb,CRO,16,177,72,Defender,Novo Čiče,HR,45.70622909999999,16.1163926
Romania,Răzvan Raţ,26/05/1981,35,Rayo Vallecano,ESP,113,178,72,Defender,Madrid,ES,40.37629099999999,-3.611793
Romania,Cosmin Moţi,03/12/1984,31,Ludogorets,BUL,8,183,74,Defender,Dulovo,BG,43.8149115,27.1378769
Romania,Vlad Chiricheş,14/11/1989,26,Napoli,ITA,43,184,75,Defender,Naples,IT,40.8517746,14.2681244
Romania,Valerică Găman,25/02/1989,27,Astra,ROU,14,188,72,Defender,Brașov,RO,45.63917800000001,25.6269792
Romania,Steliano Filip,15/05/1994,22,Dinamo Bucureşti,ROU,5,177,73,Defender,București,RO,44.4529714,26.1044705
Romania,Dragoş Grigore,07/09/1986,29,Al-Sailiya,QAT,22,185,76,Defender,الريان,QA,25.2188889,51.3797222
Romania,Cristian Săpunaru,05/04/1984,32,Pandurii,ROU,15,187,81,Defender,Costești,RO,44.6698463,24.844529
Romania,Ovidiu Hoban,27/12/1982,33,H. Beer-Sheva,ISR,22,182,80,Midfield,ב"ש,IL,31.252973,34.791462
Romania,Alexandru Chipciu,18/05/1989,27,Steaua,ROU,24,177,74,Midfield,Slatina,RO,44.42120380000001,24.3843233
Romania,Mihai Pintilii,09/11/1984,31,Steaua,ROU,34,180,78,Midfield,Slatina,RO,44.42120380000001,24.3843233
Romania,Nicolae Stanciu,07/05/1993,23,Steaua,ROU,6,170,69,Midfield,Slatina,RO,44.42120380000001,24.3843233
Romania,Gabriel Torje,22/11/1989,26,Osmanlıspor,TUR,53,168,71,Midfield,None,None,None,None
Romania,Lucian Sânmărtean,13/03/1980,36,Al-Ittihad,KSA,20,175,70,Midfield,Jeddah,SA,21.5406577,39.2139977
Romania,Andrei Prepeliţă,08/12/1985,30,Ludogorets,BUL,11,178,79,Midfield,Dulovo,BG,43.8149115,27.1378769
Romania,Adrian Popa,24/07/1988,27,Steaua,ROU,15,169,71,Midfield,Slatina,RO,44.42120380000001,24.3843233
