team,name,birthday,age,club,games,goals
Northern Ireland,Niall McGinn (7),20/07/1987,28,Aberdeen,-,-
Northern Ireland,Conor Washington (11),18/05/1992,24,QPR,1,-
Poland,Artur Boruc (12),20/02/1980,36,Bournemouth,-,-
Poland,Łukasz Fabiański (22),18/04/1985,31,Swansea,-,-
Poland,Wojciech Szczęsny (1),18/04/1990,26,Roma,1,-
Poland,Thiago Cionek (4),21/04/1986,30,Palermo,-,-
Poland,Kamil Glik (15),03/02/1988,28,Torino,1,-
Poland,Artur Jędrzejczyk (3),04/11/1987,28,Legia,1,-
Poland,Michał Pazdan (2),21/09/1987,28,Legia,1,-
Poland,Łukasz Piszczek (20),03/06/1985,31,Dortmund,1,-
Poland,Bartosz Salamon (18),01/05/1991,25,Cagliari,-,-
Poland,Jakub Wawrzyniak (14),07/07/1983,32,Lechia,-,-
Poland,Jakub Błaszczykowski (16),14/12/1985,30,Fiorentina,1,-
Poland,Kamil Grosicki (11),08/06/1988,28,Rennes,1,-
Poland,Tomasz Jodłowiec (6),08/09/1985,30,Legia,1,-
Poland,Grzegorz Krychowiak (10),29/01/1990,26,Sevilla,1,-
Poland,Karol Linetty (8),02/02/1995,21,Lech,-,-
Poland,Krzysztof Mączyński (5),23/05/1987,29,Wisła,1,-
Poland,Sławomir Peszko (17),19/02/1985,31,Lechia,1,-
Poland,Filip Starzyński (23),27/05/1991,25,Zagłębie,-,-
Poland,Piotr Zieliński (19),20/05/1994,22,Empoli,-,-
Poland,Robert Lewandowski (9),21/08/1988,27,Bayern,1,-
Poland,Arkadiusz Milik (7),28/02/1994,22,Ajax,1,1
Poland,Mariusz Stępiński (13),12/05/1995,21,Ruch,-,-
Portugal,Eduardo (22),19/09/1982,33,Dinamo Zagreb,-,-
Portugal,Anthony Lopes (12),01/10/1990,25,Lyon,-,-
Portugal,Rui Patrício (1),15/02/1988,28,Sporting CP,1,1
Portugal,Bruno Alves (2),27/11/1981,34,Fenerbahçe,-,-
Portugal,Cédric (21),31/08/1991,24,Southampton,-,-
Portugal,Eliseu (19),01/10/1983,32,Benfica,-,-
Portugal,José Fonte (4),22/12/1983,32,Southampton,-,-
Portugal,Pepe (3),26/02/1983,33,Real Madrid,1,-
Portugal,Raphael Guerreiro (5),22/12/1993,22,Lorient,1,-
Portugal,Ricardo Carvalho (6),18/05/1978,38,Monaco,1,-
Portugal,Adrien Silva (23),15/03/1989,27,Sporting CP,-,-
Portugal,André Gomes (15),30/07/1993,22,Valencia,1,-
Portugal,Danilo (13),09/09/1991,24,Porto,1,-
Portugal,João Mário (10),19/01/1993,23,Sporting CP,1,-
Portugal,João Moutinho (8),08/09/1986,29,Monaco,1,-
Portugal,Rafa Silva (18),17/05/1993,23,Braga,-,-
Portugal,Renato Sanches (16),18/08/1997,18,Benfica,1,-
Portugal,Vieirinha (11),24/01/1986,30,Wolfsburg,1,-
Portugal,William Carvalho (14),07/04/1992,24,Sporting CP,-,-
Portugal,Éder (9),22/12/1987,28,LOSC,1,-
Portugal,Nani (17),17/11/1986,29,Fenerbahçe,1,1
Portugal,Ricardo Quaresma (20),26/09/1983,32,Beşiktaş,1,-
Portugal,Cristiano Ronaldo (7),05/02/1985,31,Real Madrid,1,-
Republic of Ireland,Shay Given (16),20/04/1976,40,Stoke,-,-
Republic of Ireland,Darren Randolph (23),12/05/1987,29,West Ham,1,1
Republic of Ireland,Keiren Westwood (1),23/10/1984,31,Sheff. Wednesday,-,-
Republic of Ireland,Cyrus Christie (15),30/09/1992,23,Derby,-,-
Republic of Ireland,Ciaran Clark (3),26/09/1989,26,Aston Villa,1,-
Republic of Ireland,Seamus Coleman (2),11/10/1988,27,Everton,1,-
Republic of Ireland,Shane Duffy (12),01/01/1992,24,Blackburn,-,-
Republic of Ireland,Richard Keogh (5),11/08/1986,29,Derby,-,-
Republic of Ireland,John O'Shea (4),30/04/1981,35,Sunderland,1,-
Republic of Ireland,Stephen Ward (17),20/08/1985,30,Burnley,-,-
Republic of Ireland,Robbie Brady (19),14/01/1992,24,Norwich,1,-
Republic of Ireland,Jeff Hendrick (13),31/01/1992,24,Derby,1,-
Republic of Ireland,Wes Hoolahan (20),20/05/1982,34,Norwich,1,1
Republic of Ireland,James McCarthy (8),12/11/1990,25,Everton,1,-
Republic of Ireland,James McClean (11),22/04/1989,27,West Brom,1,-
Republic of Ireland,Aiden McGeady (7),04/04/1986,30,Sheff. Wednesday,1,-
Republic of Ireland,David Meyler (18),29/05/1989,27,Hull,-,-
Republic of Ireland,Stephen Quinn (22),01/04/1986,30,Reading,-,-
Republic of Ireland,Glenn Whelan (6),13/01/1984,32,Stoke,1,-
Republic of Ireland,Robbie Keane (10),08/07/1980,35,LA Galaxy,1,-
Republic of Ireland,Shane Long (9),22/01/1987,29,Southampton,1,-
Republic of Ireland,Daryl Murphy (21),15/03/1983,33,Ipswich,-,-
Republic of Ireland,Jon Walters (14),20/09/1983,32,Stoke,1,-
Romania,Silviu Lung (23),04/06/1989,27,Astra,-,-
Romania,Costel Pantilimon (1),01/02/1987,29,Watford,-,-
Romania,Ciprian Tătăruşanu (12),09/02/1986,30,Fiorentina,2,3
Romania,Vlad Chiricheş (6),14/11/1989,26,Napoli,2,-
Romania,Steliano Filip (16),15/05/1994,22,Dinamo Bucureşti,1,-
Romania,Valerică Găman (15),25/02/1989,27,Astra,-,-
Romania,Dragoş Grigore (21),07/09/1986,29,Al-Sailiya,2,-
Romania,Alexandru Măţel (2),17/10/1989,26,Dinamo Zagreb,-,-
Romania,Cosmin Moţi (4),03/12/1984,31,Ludogorets,-,-
Romania,Răzvan Raţ (3),26/05/1981,35,Rayo Vallecano,2,-
Romania,Cristian Săpunaru (22),05/04/1984,32,Pandurii,2,-
Romania,Alexandru Chipciu (7),18/05/1989,27,Steaua,2,-
Romania,Ovidiu Hoban (5),27/12/1982,33,H. Beer-Sheva,2,-
Romania,Mihai Pintilii (8),09/11/1984,31,Steaua,2,-
Romania,Adrian Popa (20),24/07/1988,27,Steaua,1,-
Romania,Andrei Prepeliţă (18),08/12/1985,30,Ludogorets,1,-
Romania,Lucian Sânmărtean (17),13/03/1980,36,Al-Ittihad,-,-
Romania,Nicolae Stanciu (10),07/05/1993,23,Steaua,1,-
Romania,Gabriel Torje (11),22/11/1989,26,Osmanlıspor,2,-
Romania,Denis Alibec (9),05/01/1991,25,Astra,1,-
Romania,Florin Andone (14),11/04/1993,23,Córdoba,2,-
Romania,Claudiu Keșerü (13),02/12/1986,29,Ludogorets,1,-
Romania,Bogdan Stancu (19),28/06/1987,28,Gençlerbirliği,2,2
Russia,Igor Akinfeev (1),08/04/1986,30,CSKA Moskva,2,3
Russia,Guilherme (16),12/12/1985,30,Lokomotiv Moskva,-,-
Russia,Yuri Lodygin (12),26/05/1990,26,Zenit,-,-
Russia,Aleksei Berezutski (6),20/06/1982,33,CSKA Moskva,-,-
Russia,Vasili Berezutski (14),20/06/1982,33,CSKA Moskva,2,1
Russia,Sergei Ignashevich (4),14/07/1979,36,CSKA Moskva,2,-
Russia,Dmitri Kombarov (23),22/01/1987,29,Spartak Moskva,-,-
Russia,Roman Neustädter (5),18/02/1988,28,Schalke,2,-
Russia,Georgi Schennikov (21),27/04/1991,25,CSKA Moskva,2,-
Russia,Roman Shishkin (2),27/01/1987,29,Lokomotiv Moskva,-,-
Russia,Igor Smolnikov (3),08/08/1988,27,Zenit,2,-
Russia,Denis Glushakov (8),27/01/1987,29,Spartak Moskva,2,1
Russia,Aleksandr Golovin (13),30/05/1996,20,CSKA Moskva,2,-
Russia,Oleg Ivanov (18),04/08/1986,29,Terek,-,-
Russia,Pavel Mamaev (11),17/09/1988,27,Krasnodar,2,-
Russia,Aleksandr Samedov (19),19/07/1984,31,Lokomotiv Moskva,-,-
Russia,Oleg Shatov (17),29/07/1990,25,Zenit,2,-
Russia,Roman Shirokov (15),06/07/1981,34,CSKA Moskva,2,-
Russia,Dmitri Torbinski (20),28/04/1984,32,Krasnodar,-,-
Russia,Artur Yusupov (7),01/09/1989,26,Zenit,-,-
Russia,Artem Dzyuba (22),22/08/1988,27,Zenit,2,-
Russia,Aleksandr Kokorin (9),19/03/1991,25,Zenit,2,-
Russia,Fedor Smolov (10),09/02/1990,26,Krasnodar,2,-
Slovakia,Matúš Kozáčik (23),27/12/1983,32,Plzeň,2,3
Slovakia,Ján Mucha (1),05/12/1982,33,Slovan Bratislava,-,-
Slovakia,Ján Novota (12),29/11/1983,32,Rapid Wien,-,-
Slovakia,Ján Ďurica (4),10/12/1981,34,Lokomotiv Moskva,2,-
Slovakia,Norbert Gyömber (5),03/07/1992,23,Roma,-,-
Slovakia,Tomáš Hubočan (15),17/09/1985,30,Dinamo Moskva,1,-
Slovakia,Peter Pekarík (2),30/10/1986,29,Hertha,2,-
Slovakia,Kornel Saláta (16),24/01/1985,31,Slovan Bratislava,-,-
Slovakia,Milan Škriniar (14),11/02/1995,21,Sampdoria,-,-
Slovakia,Martin Škrtel (3),15/12/1984,31,Liverpool,2,-
Slovakia,Dušan Švento (18),01/08/1985,30,Köln,2,-
Slovakia,Ondrej Duda (8),05/12/1994,21,Legia,2,1
Slovakia,Ján Greguš (6),29/01/1991,25,Jablonec,-,-
Slovakia,Marek Hamšík (17),27/07/1987,28,Napoli,2,1
Slovakia,Patrik Hrošovský (13),22/04/1992,24,Plzeň,1,-
Slovakia,Juraj Kucka (19),26/02/1987,29,Milan,2,-
Slovakia,Róbert Mak (20),08/03/1991,25,PAOK,2,-
Slovakia,Viktor Pečovský (22),24/05/1983,33,Žilina,1,-
Slovakia,Miroslav Stoch (10),19/10/1989,26,Bursaspor,1,-
Slovakia,Vladimír Weiss (7),30/11/1989,26,Al-Gharafa,2,1
Slovakia,Michal Ďuriš (21),01/06/1988,28,Plzeň,2,-
Slovakia,Adam Nemec (11),02/09/1985,30,Willem II,2,-
Slovakia,Stanislav Šesták (9),16/12/1982,33,Ferencváros,-,-
Spain,Iker Casillas (1),20/05/1981,35,Porto,-,-
Spain,David  de Gea (13),07/11/1990,25,Man. United,1,-
Spain,Sergio Rico (23),01/09/1993,22,Sevilla,-,-
Spain,César Azpilicueta (2),28/08/1989,26,Chelsea,-,-
Spain,Marc Bartra (4),15/01/1991,25,Barcelona,-,-
Spain,Héctor Bellerín (12),19/03/1995,21,Arsenal,-,-
Spain,Jordi Alba (18),21/03/1989,27,Barcelona,1,-
Spain,Juanfran (16),09/01/1985,31,Atlético,1,-
Spain,Gerard Piqué (3),02/02/1987,29,Barcelona,1,1
Spain,Sergio Ramos (15),30/03/1986,30,Real Madrid,1,-
Spain,Mikel San José (17),30/05/1989,27,Athletic,-,-
Spain,Bruno Soriano (19),12/06/1984,32,Villarreal,-,-
Spain,Sergio Busquets (5),16/07/1988,27,Barcelona,1,-
Spain,Cesc Fàbregas (10),04/05/1987,29,Chelsea,1,-
Spain,Andrés  Iniesta (6),11/05/1984,32,Barcelona,1,-
Spain,Koke (8),08/01/1992,24,Atlético,-,-
Spain,David  Silva (21),08/01/1986,30,Man. City,1,-
Spain,Thiago Alcántara (14),11/04/1991,25,Bayern,1,-
Spain,Aritz Aduriz (20),11/02/1981,35,Athletic,1,-
Spain,Lucas Vázquez (9),01/07/1991,24,Real Madrid,-,-
Spain,Álvaro Morata (7),23/10/1992,23,Juventus,1,-
Spain,Nolito (22),15/10/1986,29,Celta,1,-
Spain,Pedro Rodríguez (11),28/07/1987,28,Chelsea,1,-
Sweden,Patrik Carlgren (23),08/01/1992,24,AIK,-,-
Sweden,Andreas Isaksson (1),03/10/1981,34,Kasımpaşa,1,1
Sweden,Robin Olsen (12),08/01/1990,26,København,-,-
Sweden,Ludwig Augustinsson (17),21/04/1994,22,København,-,-
Sweden,Andreas Granqvist (4),16/04/1985,31,Krasnodar,1,-
Sweden,Pontus Jansson (13),13/02/1991,25,Torino,-,-
Sweden,Erik Johansson (3),30/12/1988,27,København,1,-
Sweden,Victor Lindelöf (14),17/07/1994,21,Benfica,1,-
Sweden,Mikael Lustig (2),13/12/1986,29,Celtic,1,-
Sweden,Martin Olsson (5),17/05/1988,28,Norwich,1,-
Sweden,Jimmy Durmaz (21),22/03/1989,27,Olympiacos,-,-
Sweden,Albin Ekdal (8),28/07/1989,26,Hamburg,1,-
Sweden,Erkan Zengin (22),05/08/1985,30,Trabzonspor,-,-
Sweden,Emil Forsberg (6),23/10/1991,24,Leipzig,1,-
Sweden,Oscar Hiljemark (15),28/06/1992,23,Palermo,-,-
Sweden,Kim Källström (9),24/08/1982,33,Grasshoppers,1,-
Sweden,Sebastian Larsson (7),06/06/1985,31,Sunderland,1,-
Sweden,Oscar Lewicki (18),14/07/1992,23,Malmö,1,-
Sweden,Pontus Wernbloom (16),25/06/1986,29,CSKA Moskva,-,-
Sweden,Marcus Berg (11),17/08/1986,29,Panathinaikos,1,-
Sweden,John Guidetti (20),15/04/1992,24,Celta,1,-
Sweden,Zlatan Ibrahimović (10),03/10/1981,34,Paris,1,-
Sweden,Emir Kujovic (19),22/06/1988,27,Norrköping,-,-
Switzerland,Roman Bürki (21),14/11/1990,25,Dortmund,-,-
Switzerland,Marwin Hitz (12),18/09/1987,28,Augsburg,-,-
Switzerland,Yann Sommer (1),17/12/1988,27,Mönchengladbach,2,1
Switzerland,Johan Djourou (20),18/01/1987,29,Hamburg,2,-
Switzerland,Nico Elvedi (4),30/09/1996,19,Mönchengladbach,-,-
Switzerland,Michael Lang (6),08/02/1991,25,Basel,1,-
Switzerland,Stephan Lichtsteiner (2),16/01/1984,32,Juventus,2,-
Switzerland,François Moubandje (3),21/06/1990,25,Toulouse,-,-
Switzerland,Ricardo Rodríguez (13),25/08/1992,23,Wolfsburg,2,-
Switzerland,Fabian Schär (22),20/12/1991,24,Hoffenheim,2,1
Switzerland,Steve von Bergen (5),10/06/1983,33,Young Boys,-,-
Switzerland,Valon Behrami (11),19/04/1985,31,Watford,2,-
Switzerland,Blerim Džemaili (15),12/04/1986,30,Genoa,2,-
Switzerland,Gelson Fernandes (16),02/09/1986,29,Rennes,1,-
Switzerland,Fabian Frei (8),08/01/1989,27,Mainz,1,-
Switzerland,Xherdan Shaqiri (23),10/10/1991,24,Stoke,2,-
Switzerland,Granit Xhaka (10),27/09/1992,23,Mönchengladbach,2,-
Switzerland,Denis Zakaria (14),20/11/1996,19,Young Boys,-,-
Switzerland,Eren Derdiyok (19),12/06/1988,28,Kasımpaşa,-,-
Switzerland,Breel Embolo (7),14/02/1997,19,Basel,2,-
Switzerland,Admir Mehmedi (18),16/03/1991,25,Leverkusen,2,1
Switzerland,Haris Seferović (9),22/02/1992,24,Frankfurt,2,-
Switzerland,Shani Tarashaj (17),07/02/1995,21,Grasshoppers,1,-
Turkey,Harun Tekin (23),17/06/1989,26,Bursaspor,-,-
Turkey,Onur Kıvrak (12),01/01/1988,28,Trabzonspor,-,-
Turkey,Volkan Babacan (1),11/08/1988,27,İstanbul Başakşehir,1,1
Turkey,Ahmet Çalık (4),26/02/1994,22,Gençlerbirliği,-,-
Turkey,Caner Erkin (18),04/10/1988,27,Fenerbahçe,1,-
Turkey,Gökhan Gönül (7),04/01/1985,31,Fenerbahçe,1,-
Turkey,Hakan Balta (3),23/03/1983,33,Galatasaray,1,-
Turkey,İsmail Köybaşı (13),10/07/1989,26,Beşiktaş,-,-
Turkey,Semih Kaya (2),24/02/1991,25,Galatasaray,-,-
Turkey,Şener Özbayraklı (22),23/01/1990,26,Fenerbahçe,-,-
Turkey,Arda Turan (10),30/01/1987,29,Barcelona,1,-
Turkey,Hakan Çalhanoğlu (6),08/02/1994,22,Leverkusen,1,-
Turkey,Mehmet Topal (15),03/03/1986,30,Fenerbahçe,1,-
Turkey,Nuri Şahin (5),05/09/1988,27,Dortmund,-,-
Turkey,Oğuzhan Özyakup (14),23/09/1992,23,Beşiktaş,1,-
Turkey,Olcay Şahan (11),26/05/1987,29,Beşiktaş,-,-
Turkey,Ozan Tufan (16),23/03/1995,21,Fenerbahçe,1,-
Turkey,Selçuk İnan (8),10/02/1985,31,Galatasaray,1,-
Turkey,Volkan Şen (20),07/07/1987,28,Fenerbahçe,1,-
Turkey,Yunus Mallı (19),24/02/1992,24,Mainz,-,-
Turkey,Burak Yılmaz (17),15/07/1985,30,Beijing Guoan,1,-
Turkey,Cenk Tosun (9),07/06/1991,25,Beşiktaş,1,-
Turkey,Emre Mor (21),24/07/1997,18,Nordsjælland,1,-
Ukraine,Denys Boyko (1),29/01/1988,28,Beşiktaş,-,-
Ukraine,Andriy Pyatov (12),28/06/1984,31,Shakhtar Donetsk,1,2
Ukraine,Mykyta Shevchenko (23),26/01/1993,23,Zorya,-,-
Ukraine,Bohdan Butko (2),13/01/1991,25,Amkar,-,-
Ukraine,Artem Fedetskiy (17),26/04/1985,31,Dnipro,1,-
Ukraine,Yevhen Khacheridi (3),28/07/1987,28,Dynamo Kyiv,1,-
Ukraine,Olexandr Kucher (5),22/10/1982,33,Shakhtar Donetsk,-,-
Ukraine,Yaroslav Rakitskiy (20),03/08/1989,26,Shakhtar Donetsk,1,-
Ukraine,Vyacheslav Shevchuk (13),13/05/1979,37,Shakhtar Donetsk,1,-
Ukraine,Denys Garmash (19),19/04/1990,26,Dynamo Kyiv,-,-
Ukraine,Olexandr Karavaev (22),02/06/1992,24,Zorya,-,-
Ukraine,Yevhen Konoplyanka (10),29/09/1989,26,Sevilla,1,-
Ukraine,Viktor Kovalenko (9),14/02/1996,20,Shakhtar Donetsk,1,-
Ukraine,Ruslan Rotan (14),29/10/1981,34,Dnipro,-,-
Ukraine,Serhiy Rybalka (18),01/04/1990,26,Dynamo Kyiv,-,-
Ukraine,Taras Stepanenko (6),08/08/1989,26,Shakhtar Donetsk,1,-
Ukraine,Serhiy Sydorchuk (16),02/05/1991,25,Dynamo Kyiv,1,-
Ukraine,Anatoliy Tymoshchuk (4),30/03/1979,37,Kairat,-,-
Ukraine,Andriy Yarmolenko (7),23/10/1989,26,Dynamo Kyiv,1,-
Ukraine,Olexandr Zinchenko (21),15/12/1996,19,Ufa,1,-
Ukraine,Pylyp Budkivskiy (15),10/03/1992,24,Zorya,-,-
Ukraine,Yevhen Seleznyov (11),20/07/1985,30,Shakhtar Donetsk,1,-
Ukraine,Roman Zozulya (8),17/11/1989,26,Dnipro,1,-
Wales,Owain Fôn Williams (12),17/03/1987,29,Inverness,-,-
Wales,Wayne Hennessey (1),24/01/1987,29,Crystal Palace,1,2
Wales,Danny Ward (21),22/06/1993,22,Liverpool,1,1
Wales,James  Chester (5),23/01/1989,27,West Brom,2,-
Wales,James Collins (19),23/08/1983,32,West Ham,-,-
Wales,Ben Davies (4),24/04/1993,23,Tottenham,2,-
Wales,Chris Gunter (2),21/07/1989,26,Reading,2,-
Wales,Jazz Richards (15),12/04/1991,25,Fulham,1,-
Wales,Neil Taylor (3),07/02/1989,27,Swansea,2,-
Wales,Ashley Williams (6),23/08/1984,31,Swansea,2,-
Wales,Joe Allen (7),14/03/1990,26,Liverpool,2,-
Wales,David Edwards (14),03/02/1986,30,Wolves,2,-
Wales,Andy King (8),29/10/1988,27,Leicester,-,-
Wales,Joe Ledley (16),23/01/1987,29,Crystal Palace,2,-
Wales,Aaron Ramsey (10),26/12/1990,25,Arsenal,2,-
Wales,David Vaughan (22),18/02/1983,33,Nottm Forest,-,-
Wales,Jonathan Williams (20),09/10/1993,22,Crystal Palace,2,-
Wales,Gareth Bale (11),16/07/1989,26,Real Madrid,2,2
Wales,Simon Church (23),10/12/1988,27,MK Dons,-,-
Wales,David Cotterill (17),04/12/1987,28,Birmingham,-,-
Wales,Hal Robson-Kanu (9),21/05/1989,27,Reading,2,1
Wales,Sam Vokes (18),21/10/1989,26,Burnley,-,-
Wales,George Williams (13),07/09/1995,20,Fulham,-,-
